benchmark_name,attribute,rater_A_code,rater_B_code
WorkArena,W (target_capabilities),Long-horizon enterprise workflows (W1); Multi-turn reasoning (W2); UI/API execution (W3); DOM/screenshot perception (W4),"enterprise workflow task completion in ServiceNow UI (W1, W4, W3)"
WorkArena,H (evaluation_paradigm),"Programmatic/deterministic, server-side state validation (H1)",programmatic state-based validation of task outcome (H1)
WorkArena,E (environment_type),Enterprise SaaS platform (ServiceNow) via browser (E2b),live ServiceNow web/browser environment (E2b)
OSWorld,W (target_capabilities),"Environment perception/GUI grounding (W4, core); Planning (W1); OS/tool execution (W3); Multimodality","open-ended computer-use tasks across real apps (W4 core, W1, W3)"
OSWorld,H (evaluation_paradigm),"Programmatic/deterministic, execution-based scripts (H1)",execution-based scripts inspecting final system state (H1)
OSWorld,E (environment_type),Virtual operating systems; Ubuntu/Windows/macOS VMs (E2a),"real virtual OS desktop with GUI apps (E2a, E2b)"
AgentBench,W (target_capabilities),Planning (W1); Tool execution (W3); Reasoning (W2) across 8 environments,"multi-environment agent decision-making and tool use (W3, W1, W2)"
AgentBench,H (evaluation_paradigm),"Programmatic/deterministic, per-environment (H1)",per-environment programmatic success metrics (H1)
AgentBench,E (environment_type),Multi-topology: OS sandbox (E2a); DB/code (E2c); games (E2d),"suite spanning OS, code, web, and game environments (E2a, E2c, E2b, E2d)"
AgentBoard,W (target_capabilities),Long-horizon planning with progress tracking (W1); Multi-turn reasoning (W2); Tool execution (W3); Perception (W4),"multi-turn agent progress on interactive tasks (W2, W1, W3, W4)"
AgentBoard,H (evaluation_paradigm),"Programmatic/deterministic, progress-rate + success (H1)",programmatic fine-grained progress-rate scoring (H1)
AgentBoard,E (environment_type),Multi-topology: web (E2b); embodied/game worlds (E2d),"multi-domain interactive environments (E2c, E2b, E2d)"
SWE-bench,W (target_capabilities),Tool/code execution (W3); Long-horizon multi-file planning (W1); Multi-turn reasoning (W2),"resolving real GitHub issues with code patches (W3 core, W1)"
SWE-bench,H (evaluation_paradigm),Programmatic/deterministic (H1),run repository unit tests to verify the patch (H1)
SWE-bench,E (environment_type),Code execution environment; Dockerized GitHub repositories (E2c),code execution in repository sandboxes (E2c)
AppWorld,W (target_capabilities),Long-horizon multi-app tasks (W1); Tool/API execution across 457 APIs (W3); Multi-turn reasoning (W2); Collateral-damage/safety checks (W6),"multi-app API task completion with interdependent calls (W3 core, W1)"
AppWorld,H (evaluation_paradigm),"Programmatic/deterministic, state-based unit tests (H1)",programmatic state and database-check evaluation (H1)
AppWorld,E (environment_type),Simulated multi-app world; interactive code execution (E2c),code/API execution against simulated app world (E2c)
ToolBench (ToolLLM),W (target_capabilities),"Tool/API execution across 16k+ APIs (W3, core); Multi-step solution paths (W1); Multi-turn tool reasoning (W2)","multi-step real-API tool selection and calling (W3 core, W1)"
ToolBench (ToolLLM),H (evaluation_paradigm),LLM-as-a-judge via ToolEval (H2) with executability checks (H1 component),LLM-judged pass rate and win rate of solutions (H2)
ToolBench (ToolLLM),E (environment_type),Live REST/RapidAPI tool execution (E2c),live REST API execution environment (E2c)
tau-bench,W (target_capabilities),"Multi-turn user-agent dialogue (W2, core); Tool/API execution (W3); Policy/rule adherence (W1, W6)","tool-use dialogue following domain policy with a user (W3, W2 core)"
tau-bench,H (evaluation_paradigm),Programmatic goal-state check (H1) with LLM user-simulator (H2 component),programmatic database-state and info match against goal (H1)
tau-bench,E (environment_type),Dynamic conversational tool/API environment with simulated-user loop (E2c),simulated retail/airline tool-and-user environment (E2c)
ScienceWorld,W (target_capabilities),Long-horizon experiment procedures (W1); Multi-turn text actions (W2); Text-world state perception (W4),"interactive scientific reasoning and task completion (W4, W1, W2)"
ScienceWorld,H (evaluation_paradigm),"Programmatic/deterministic, graded task completion (H1)",programmatic task-completion and subgoal scoring (H1)
ScienceWorld,E (environment_type),Interactive text-based simulated science world (E2d),text-based embodied simulated world (E2d)
AgentVerse,W (target_capabilities),"Multi-agent coordination (W5, core); Multi-step task solving (W1); Tool utilization (W3); Multi-turn group dialogue (W2)","multi-agent collaboration on problem-solving tasks (W5 core, W3)"
AgentVerse,H (evaluation_paradigm),Programmatic on objective tasks (H1) + LLM-as-a-judge/qualitative emergent-behavior analysis (H2),"mixed programmatic and LLM/human assessment of outcomes (H1, H2)"
AgentVerse,E (environment_type),Multi-agent framework + embodied (Minecraft) and tool/coding tasks (E2d),multi-agent coordination environment (E2d)
Cybench,W (target_capabilities),"Cyber-offensive capability/risk (W6, core); Multi-step exploit chains (W1); Shell/tool command execution (W3); Environment perception (W4)","end-to-end CTF cybersecurity exploitation tasks (W6 core, W1, W3)"
Cybench,H (evaluation_paradigm),"Programmatic/deterministic, capture-the-flag verification (H1)",programmatic flag-capture and subtask verification (H1)
Cybench,E (environment_type),"Containerized command-execution environment, 40 CTF tasks (E2c/E2a)",containerized shell/code execution sandbox (E2c)
