oa_id,title,year,doi,url,repo,abstract_first200,Planning,Reasoning,ToolUse,Coding,Memory,Collaboration,ScientificDiscovery,Recommendation,LongHorizonExecution,WebInteraction,Static,Interactive,Dynamic,Simulated,RealWorld,Embodied,Offline,Online,HumanInTheLoop,MultiAgent,FullyAutonomous,OpenSource,DatasetReleased,EnvironmentReleased,DockerSupport,EvalScriptsAvailable,uncodable,notes
W4399912700,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,10.48550/arxiv.2406.13352,https://doi.org/10.48550/arxiv.2406.13352,,"AI agents aim to solve complex tasks by combining text-based reasoning with external tool calls. Unfortunately, AI agents are vulnerable to prompt injection attacks where data returned by external too",1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,AgentDojo: prompt-injection attack/defense benchmark (W6); dynamic injected content.
W4405035082,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,2024,10.48550/arxiv.2412.01778,https://doi.org/10.48550/arxiv.2412.01778,,"We introduce HackSynth, a novel Large Language Model (LLM)-based agent capable of autonomous penetration testing. HackSynth's dual-module architecture includes a Planner and a Summarizer, which enable",1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,HackSynth: autonomous pentest agent (Planner+Summarizer) on containerized CTF tasks.
W4404781154,BLADE: Benchmarking Language Model Agents for Data-Driven Science,2024,10.18653/v1/2024.findings-emnlp.815,https://doi.org/10.18653/v1/2024.findings-emnlp.815,,"Ken Gu, Ruoxi Shang, Ruien Jiang, Keying Kuang, Richard-John Lin, Donghe Lyu, Yue Mao, Youran Pan, Teng Wu, Jiaqian Yu, Yikun Zhang, Tianmai M. Zhang, Lanyi Zhu, Mike A Merrill, Jeffrey Heer, Tim Alth",1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,BLADE: data-driven-science analysis agent vs expert decisions (scientific workflow).
W4404792846,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,2024,10.18653/v1/2024.findings-emnlp.638,https://doi.org/10.18653/v1/2024.findings-emnlp.638,,"LLM-based agents have emerged as promising tools, which are crafted to fulfill complex tasks by iterative planning and action.However, these agents are susceptible to undesired planning hallucinations",1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,FlowBench: workflow-guided planning benchmark with simulated-user sessions.
W4402683810,Towards Objectively Benchmarking Social Intelligence of Language Agents at the Action Level,2024,10.18653/v1/2024.findings-acl.526,https://doi.org/10.18653/v1/2024.findings-acl.526,,,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,STSS: action-level social-intelligence benchmark in Smallville multi-agent sandbox.
W4400187846,Managing Linux servers with LLM-based AI agents: An empirical evaluation with GPT4,2024,10.1016/j.mlwa.2024.100570,https://doi.org/10.1016/j.mlwa.2024.100570,,This paper presents an empirical study on the application of Large Language Model (LLM)-based AI agents for automating server management tasks in Linux environments. We aim to evaluate the effectivene,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"Empirical eval of GPT-4 agent on real Linux server management; study, not a released benchmark."
W4402705816,"AeroVerse: UAV-Agent Benchmark Suite for Simulating, Pre-training, Finetuning, and Evaluating Aerospace Embodied World Models",2024,10.48550/arxiv.2408.15511,https://doi.org/10.48550/arxiv.2408.15511,,"Aerospace embodied intelligence aims to empower unmanned aerial vehicles (UAVs) and other aerospace platforms to achieve autonomous perception, cognition, and action, as well as egocentric active inte",1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,AeroVerse: UAV embodied aerospace agent benchmark suite (perception+planning).
W4401024643,Coalition Obstruction Temporal Logic: A New Obstruction Logic to Reason About Demon Coalitions,2024,10.24963/ijcai.2024/3,https://doi.org/10.24963/ijcai.2024/3,,"In multi-agent systems, especially in cybersecurity, the dynamic interplay between attackers and defenders is crucial to the security and resilience of the system. Traditional methods often assume sta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not a benchmark; formal temporal-logic theory (non-LLM multi-agent).
W4406733842,IntellAgent: A Multi-Agent Framework for Evaluating Conversational AI Systems,2025,10.48550/arxiv.2501.11067,https://doi.org/10.48550/arxiv.2501.11067,,"Large Language Models (LLMs) are transforming artificial intelligence, evolving into task-oriented systems capable of autonomous planning and execution. One of the primary applications of LLMs is conv",1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,IntellAgent: multi-agent framework generating/evaluating conversational-agent scenarios.
W4411119411,CSR-Bench: Benchmarking LLM Agents in Deployment of Computer Science Research Repositories,2025,10.18653/v1/2025.naacl-long.633,https://doi.org/10.18653/v1/2025.naacl-long.633,,"Yijia Xiao, Runhui Wang, Luyang Kong, Davor Golac, Wei Wang. Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language ",1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,CSR-Bench: agent deploys/runs real CS research repos (multi-step setup+execution).
W4414930036,FinGAIA: A Chinese Benchmark for AI Agents in Real-World Financial Domain,2025,10.48550/arxiv.2507.17186,https://doi.org/10.48550/arxiv.2507.17186,,"The booming development of AI agents presents unprecedented opportunities for automating complex tasks across various domains. However, their multi-step, multi-tool collaboration capabilities in the f",1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,FinGAIA: Chinese financial-domain multi-step multi-tool agent benchmark.
W4413145608,ComfyBench: Benchmarking LLM-based Agents in ComfyUI for Autonomously Designing Collaborative AI Systems,2025,10.1109/cvpr52734.2025.02292,https://doi.org/10.1109/cvpr52734.2025.02292,,"Much previous AI research has focused on developing monolithic models to maximize their intelligence, with the primary goal of enhancing performance on specific tasks. In contrast, this work attempts ",1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,ComfyBench: agents author ComfyUI workflows (code/graph) autonomously.
W4412887847,X-WebAgentBench: A Multilingual Interactive Web Benchmark for Evaluating Global Agentic System,2025,10.18653/v1/2025.findings-acl.988,https://doi.org/10.18653/v1/2025.findings-acl.988,,"Recently, large language model (LLM)-based agents have achieved significant success in interactive environments, attracting significant academic and industrial attention.Despite these advancements, cu",1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,X-WebAgentBench: multilingual interactive web-agent benchmark.
W4411113099,Evaluating Cultural and Social Awareness of LLM Web Agents,2025,10.18653/v1/2025.findings-naacl.222,https://doi.org/10.18653/v1/2025.findings-naacl.222,,"As large language models (LLMs) expand into performing as agents for real-world applications beyond traditional NLP tasks, evaluating their robustness becomes increasingly important.However, existing ",1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,Cultural/social-awareness robustness eval of LLM web agents.
W4412877122,DCA-Bench: A Benchmark for Dataset Curation Agents,2025,10.1145/3711896.3737422,https://doi.org/10.1145/3711896.3737422,,"The quality of datasets plays an increasingly crucial role in the research and development of modern artificial intelligence (AI). Despite the proliferation of open dataset platforms nowadays, data qu",1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,DCA-Bench: dataset-curation agent inspects real dataset-platform cases for issues.
W4409736144,Playing Dumb to Get Smart: Creating and Evaluating an LLM-based Teachable Agent within University Computer Science Classes,2025,10.1145/3706598.3713644,https://doi.org/10.1145/3706598.3713644,,,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"Classroom user study of an LLM teachable agent; human-in-the-loop, not a benchmark."
W4409363027,LLM Agents Can Be Choice-Supportive Biased Evaluators: An Empirical Study,2025,10.1609/aaai.v39i25.34843,https://doi.org/10.1609/aaai.v39i25.34843,,"With Large Language Model (LLM) agents taking on more evaluation responsibilities in decision-making, it is essential to recognize their possible biases to guarantee fair and trustworthy AI-supported ",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Empirical choice-supportive-bias study of LLM evaluator agents; not a sequential-action benchmark.
W4413886873,CFA-Bench: Cybersecurity Forensic Llm Agent Benchmark and Testing,2025,10.1109/eurospw67616.2025.00031,https://doi.org/10.1109/eurospw67616.2025.00031,,"This paper investigates the capabilities and limitations of Large Language Model (LLM) agents in performing cybersecurity forensic tasks, including incident response, digital evidence correlation, and",1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,CFA-Bench: cybersecurity-forensic LLM-agent benchmark (incident response/evidence correlation).
W4409724980,Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,2025,10.1109/csnt64827.2025.10968728,https://doi.org/10.1109/csnt64827.2025.10968728,,"One of the trickiest problems in software engineering is automating software issue fixes, which calls for a thorough comprehension of contextual relationships, code semantics, and dynamic debugging te",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Survey/review of automated bug-fixing systems and benchmarks; not a benchmark.
W4413358490,Simurgh: Multi-Agent Adversarial Benchmarking for Proactive Microservice Observability,2025,10.1145/3748496.3748991,https://doi.org/10.1145/3748496.3748991,,"Microservices autoscaling is essential for dynamically adjusting resources to meet fluctuating workload demands and maintain service-level objectives (SLOs), such as latency, while minimizing resource",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-LLM (Bayesian-opt/chaos/distributed-RL) microservice-autoscaling adversarial benchmark; not LLM-agent.
W4413147008,Sketchtopia: A Dataset and Foundational Agents for Benchmarking Asynchronous Multimodal Communication with Iconic Feedback,2025,10.1109/cvpr52734.2025.01694,https://doi.org/10.1109/cvpr52734.2025.01694,,"We introduce Sketchtopia, a large-scale dataset and AI framework designed to explore goal-driven, multimodal communication through asynchronous interactions in a Pictionary-inspired setup. Sketchtopia",1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,Sketchtopia: async multimodal (Pictionary) multi-agent communication benchmark.
W4417089504,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,2025,10.48550/arxiv.2504.12516,https://doi.org/10.48550/arxiv.2504.12516,,"We present BrowseComp, a simple yet challenging benchmark for measuring the ability for agents to browse the web. BrowseComp comprises 1,266 questions that require persistently navigating the internet",1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,BrowseComp: persistent open-live-web browsing-agent benchmark.
W4412887745,ProjectEval: A Benchmark for Programming Agents Automated Evaluation on Project-Level Code Generation,2025,10.18653/v1/2025.findings-acl.1036,https://doi.org/10.18653/v1/2025.findings-acl.1036,,"Recently, LLM agents have made rapid progress in improving their programming capabilities.However, existing benchmarks lack the ability to automatically evaluate from users' perspective, and also lack",1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,ProjectEval: project-level code-generation programming-agent benchmark.
W4408165425,Design and evaluation of an Autonomous Cyber Defence agent using DRL and an augmented LLM,2025,10.1016/j.comnet.2025.111162,https://doi.org/10.1016/j.comnet.2025.111162,,"In this paper, we design and evaluate an Autonomous Cyber Defence (ACD) agent to monitor and act within critical network segments connected to untrusted infrastructure hosting active adversaries. We a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single-system design/eval of a DRL-core (LLM-augmented) cyber-defence agent; not a benchmark.
W4415289348,Survey on Evaluation of LLM-based Agents,2025,10.48550/arxiv.2503.16416,https://doi.org/10.48550/arxiv.2503.16416,,"LLM-based agents represent a paradigm shift in AI, enabling autonomous systems to plan, reason, and use tools while interacting with dynamic environments. This paper provides the first comprehensive s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Survey on evaluation of LLM-based agents; not a benchmark.
W7138370235,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",2026,10.1609/aaai.v40i35.40210,https://doi.org/10.1609/aaai.v40i35.40210,,"Recent advances in LLM agentic systems have improved the automation of offensive security tasks, particularly for Capture the Flag (CTF) challenges. We systematically investigate the key factors that ",1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,Lightweight CTF benchmark; LLM-as-judge (H2) + flag verification.
W7118158543,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,2026,10.1109/access.2026.3651218,https://doi.org/10.1109/access.2026.3651218,,"Large Language Model (LLM)-based agents that plan, use tools and act has begun to shape healthcare and medicine. Reported studies demonstrate competence on various tasks ranging from EHR analysis and ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Seven-dimensional taxonomy/review of healthcare agents; not a benchmark.
W7130465524,Agentic Data Analysis for Intelligent Manufacturing: Benchmark-Driven Evaluation of Agentic vs. Direct LLM Approaches,2026,10.1016/j.procir.2025.09.043,https://doi.org/10.1016/j.procir.2025.09.043,,,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Agentic vs direct LLM on manufacturing table-QA benchmark (TableBench-inspired); applied study.
W4415054476,"Collaborate, Deliberate, Evaluate: How LLM Alignment Affects Coordinated Multi-Agent Outcomes",2026,10.65109/uqpo8536,https://doi.org/10.65109/uqpo8536,,"Using the theoretical lens of the modified-action MDP, we show that common alignment techniques that are typically developed under single-user settings do not account for the dynamics of long-horizon ",1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,Analysis of alignment effects on multi-agent coordination (modified-action MDP); study.
