oa_id,title,current_type,venue,venue_status,note
W4403345800,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387885897,The Rational Agent Benchmark for Data Visualization,article,IEEE Transactions on Visualization and Computer Graphics,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4392971563,How Far Are We on the Decision-Making of LLMs? Evaluating LLMs' Gaming Ability in Multi-Agent Environments,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4401043616,On Evaluating the Integration of Reasoning and Action in LLM Agents with Database Question Answering,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415796822,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415796190,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402671485,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415289348,Survey on Evaluation of LLM-based Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402480690,Evaluation of an LLM-Powered Student Agent for Teacher Training,book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403884175,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402683822,CToolEval: A Chinese Benchmark for LLM-Powered Agent Evaluation in Real-World API Interactions,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4410087623,Evaluating and Enhancing LLMs Agent Based on Theory of Mind in Guandan: A Multi-Player Cooperative Game Under Imperfect ,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404781154,BLADE: Benchmarking Language Model Agents for Data-Driven Science,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403943319,Seal-Tools: Self-instruct Tool Learning Dataset for Agent Tuning and Detailed Benchmark,book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413065709,Toward the Autonomous AI Doctor: Quantitative Benchmarking of an Autonomous Agentic AI Versus Board-Certified Clinicians,preprint,medRxiv,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4409736144,Playing Dumb to Get Smart: Creating and Evaluating an LLM-based Teachable Agent within University Computer Science Class,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403564213,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402856941,POGEMA: A Benchmark Platform for Cooperative Multi-Agent Pathfinding,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405627213,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399836817,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391899415,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387560371,Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4410068021,Toward Sensor-In-the-Loop LLM Agent: Benchmarks and Implications,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415800716,WFCRL: A Multi-Agent Reinforcement Learning Benchmark for Wind Farm Control,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413145608,ComfyBench: Benchmarking LLM-based Agents in ComfyUI for Autonomously Designing Collaborative AI Systems,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4410294558,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,article,IEEE Transactions on Artificial Intelligence,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7150166984,From Static Scores to Cognitive Retrieval: A Comparative Evaluation of Memory Prioritization Algorithms for LLM Multi-Ag,preprint,Zenodo (CERN European Organization for Nuclear Research),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399991282,GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402705816,"AeroVerse: UAV-Agent Benchmark Suite for Simulating, Pre-training, Finetuning, and Evaluating Aerospace Embodied World M",preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4380714553,A Versatile Multi-Agent Reinforcement Learning Benchmark for Inventory Management,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4407806895,MLGym: A New Framework and Benchmark for Advancing AI Research Agents,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7124289417,TaxAI: A Dynamic Economic Simulator and Benchmark for Multi-agent Reinforcement Learning,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4406841370,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412886800,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405035082,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412886643,Auto-Arena: Automating LLM Evaluations with Agent Peer Battles and Committee Discussions,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387164935,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404792846,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416036279,CityEQA: A Hierarchical LLM Agent on Embodied Question Answering Benchmark in City Space,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404545083,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4382319487,Extension of constraint-procedural logic-generated environments for deep Q-learning agent training and benchmarking,article,Journal of Logic and Computation,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416035019,PersonaGym: Evaluating Persona Agents and LLMs,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415054476,"Collaborate, Deliberate, Evaluate: How LLM Alignment Affects Coordinated Multi-Agent Outcomes",article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403880476,Can Machines Think Like Humans? A Behavioral Evaluation of LLM-Agents in Dictator Games,preprint,,preprint_no_archival_found,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403707291,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4389363807,BenchMARL: Benchmarking Multi-Agent Reinforcement Learning,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415427913,From Grounding to Planning: Benchmarking Bottlenecks in Web Agents,book-chapter,Frontiers in artificial intelligence and applications,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415539729,UAV-ON: A Benchmark for Open-World Object Goal Navigation with Aerial Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4406866661,HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agent,article,ACM Transactions on Software Engineering and Methodology,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403578753,JAILJUDGE: A Comprehensive Jailbreak Judge Benchmark with Multi-Agent Enhanced Explanation Evaluation Framework,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403564265,Catastrophic Cyber Capabilities Benchmark (3CB): Robustly Evaluating LLM Agent Cyber Offense Capabilities,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416955380,Evaluating Faithfulness in Agentic RAG Systems for e-Governance Applications Using LLM-Based Judging Frameworks,article,Big Data and Cognitive Computing,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413402046,EH-Benchmark: Ophthalmic hallucination benchmark and agent-driven top-down traceable reasoning workflow,article,Information Fusion,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415795995,RedCode: Risky Code Execution and Generation Benchmark for Code Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7133246398,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4401042401,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7130481397,Benchmarking large language model-based agent systems for clinical decision tasks,article,npj Digital Medicine,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7124263640,An Extended Benchmarking of Multi-Agent Reinforcement Learning Algorithms in Complex Fully Cooperative Tasks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4388551615,MARL$$_{4}DRP$$: Benchmarking Cooperative Multi-agent Reinforcement Learning Algorithms for Drone Routing Problems,book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415797149,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404782102,An Evaluation Mechanism of LLM-based Agents on Manipulating APIs,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7118158543,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,article,IEEE Access,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404781196,Automated test generation to evaluate tool-augmented LLMs as conversational AI agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403364962,Benchmarking Agentic Workflow Generation,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399837154,WebCanvas: Benchmarking Web Agents in Online Environments,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4410440509,RedTeamAI: A Benchmark for Assessing Autonomous Cybersecurity Agents,preprint,,preprint_no_archival_found,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403888240,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404649840,BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7131400538,Benchmark Test-Time Scaling of General LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415333036,OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4414991266,Benchmarking LLM-based agents for single-cell omics analysis,preprint,Genome biology,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415697200,GeoBenchX: Benchmarking LLMs in Agent Solving Multistep Geospatial Tasks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405562840,SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415286464,MedAgentsBench: Benchmarking Thinking Models and Agent Frameworks for Complex Medical Reasoning,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403569908,EmbodiedCity: A Benchmark Platform for Embodied Agent in Real-world City Environment,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4392011697,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399795293,CoSQA+: Pioneering the Multi-Choice Code Search Benchmark with Test-Driven Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417300641,MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413147008,Sketchtopia: A Dataset and Foundational Agents for Benchmarking Asynchronous Multimodal Communication with Iconic Feedba,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412887847,X-WebAgentBench: A Multilingual Interactive Web Benchmark for Evaluating Global Agentic System,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7124265668,EnEnv 1.0: Energy Grid Environment for Multi-Agent Reinforcement Learning Benchmarking,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417161986,"Beyond Benchmarks: Dynamic, Automatic And Systematic Red-Teaming Agents For Trustworthy Medical Language Models",preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7147004655,The Theoretical Production Benchmark v2.0: Evaluating Sustained Conceptual Coherence in Multi-Agent LLM Systems,article,Zenodo (CERN European Organization for Nuclear Research),archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4414448307,MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405627542,Agent-SafetyBench: Evaluating the Safety of LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4411113099,Evaluating Cultural and Social Awareness of LLM Web Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4410538601,Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412889602,EducationQ: Evaluating LLMs’ Teaching Capabilities Through Multi-Agent Dialogue Framework,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7125598063,"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems",article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416132621,LLM-Driven Agent-Based Evaluation Framework for Occupant-Centric HVAC Control Considering Individual Differences and Mov,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412887805,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412888327,MMInA: Benchmarking Multihop Multimodal Internet Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4409724980,Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416195096,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404354192,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416036629,TP-RAG: Benchmarking Retrieval-Augmented Large Language Model Agents for Spatiotemporal-Aware Travel Planning,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7125387752,Deploying and evaluating a conversational agent using LLMs for academic library reference,article,Reference Services Review,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4409363027,LLM Agents Can Be Choice-Supportive Biased Evaluators: An Empirical Study,article,Proceedings of the AAAI Conference on Artificial Intelligence,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416396996,Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture,preprint,SSRN Electronic Journal,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412944686,The Behavior Gap: Evaluating Zero-shot LLM Agents in Complex Task-Oriented Dialogs,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7125268930,An LLM-based multi-agent system to assist early-stage product design and evaluation,article,Journal of Engineering Design,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417132388,"Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Accuracy, ",article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413886873,CFA-Bench: Cybersecurity Forensic Llm Agent Benchmark and Testing,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415796852,GTA: A Benchmark for General Tool Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387389108,SmartPlay: A Benchmark for LLMs as Intelligent Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7117833627,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412877122,DCA-Bench: A Benchmark for Dataset Curation Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4398836283,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417089504,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4396653533,WorkBench: a Benchmark Dataset for Agents in a Realistic Workplace Setting,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415069437,DeepResearch Bench: A Comprehensive Benchmark for Deep Research Agents,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4408874506,AMaze: an intuitive benchmark generator for fast prototyping of generalizable agents,article,Frontiers in Artificial Intelligence,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4414854662,Personalized Safety in LLMs: A Benchmark and A Planning-Based Agent Approach,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4414757718,FutureX: An Advanced Live Benchmark for LLM Agents in Future Prediction,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4400945821,Quantifying Bias in Agentic Large Language Models: A Benchmarking Approach,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416195122,FinAgentBench: A Benchmark Dataset for Agentic Retrieval in Financial Question Answering,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4401201041,MMAU: A Holistic Benchmark of Agent Capabilities Across Diverse Domains,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416540657,REAL: Benchmarking Autonomous Agents on Deterministic Simulations of Real Websites,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404088748,IntersectionZoo: Eco-driving for Benchmarking Multi-Agent Contextual Reinforcement Learning,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7128358391,MemGUI-Bench: Benchmarking Memory of Mobile GUI Agents in Dynamic Environments,preprint,Open MIND,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7130648243,AutoONBench: a benchmark for large language model agents in autonomous optical networks,article,Journal of Optical Communications and Networking,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4400267107,ShortcutsBench: A Large-Scale Real-world Benchmark for API-based Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4414930036,FinGAIA: A Chinese Benchmark for AI Agents in Real-World Financial Domain,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4400786943,MAS-Bench: a benchmarking for parameter calibration of multi-agent crowd simulation,article,Journal of Computational Social Science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4398156921,Simulation-Based Benchmarking of Reinforcement Learning Agents for Personalized Retail Promotions,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417134740,"MCPWorld: A Unified Benchmarking Testbed for API, GUI, and Hybrid Computer Use Agents",preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412887745,ProjectEval: A Benchmark for Programming Agents Automated Evaluation on Project-Level Code Generation,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7128814741,AgentLeak: A Full-Stack Benchmark for Privacy Leakage in Multi-Agent LLM Systems,preprint,Open MIND,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405792484,GUI Testing Arena: A Unified Benchmark for Advancing Autonomous GUI Testing Agent,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4416237171,FHIR-AgentBench: Benchmarking LLM Agents for Realistic Interoperable EHR Question Answering,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7131297773,SusBench: An Online Benchmark for Evaluating Dark Pattern Susceptibility of Computer-Use Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
