source,title,doi,first_pass,type_hint,provisional,rationale
IEEE,MEWA: A Benchmark For Meta-Learning in Collaborative Working Agents,,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,OmniCharacter++: Towards Comprehensive Benchmark for Realistic Role-Playing Agents,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,PillagerBench: Benchmarking LLM-Based Agents in Competitive Minecraft Team Environments,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,SocialNormVR: Designing Symmetrical Reality Testbeds for AI Agent Social Norm Evaluation,,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
IEEE,UINavBench: A Framework for Comprehensive Evaluation of Interactive Digital Agents,/document/11444249/,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
Springer,Agentic AI Capability and Security Benchmark,10.1007/978-3-032-02130-4_6,candidate_agentic,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
Springer,SecKQL-Agent: A Real-World APT29 Events Benchmark and&#xa0;Framework for&#xa0;Reliable Text-to-KQL in&#xa0;Security Analytics,10.1007/978-981-92-0378-9_17,candidate_review,benchmark,Include-lean,"named benchmark, LLM-agent construct — confirm multi-step + scoring"
ACM,A Framework for Evaluating AI Agents in Open-Ended Conversations via Scripted Simulation,10.1145/3711896.3737390,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,Agent-Driven Automatic Software Improvement,10.1145/3661167.3661171,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,10.1145/3774904.3792724,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
ACM,An LLM-based Agentic Framework for Accessible NetworkControl,10.1145/3764944.3764949,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,Benchmarking Agents in Insurance Underwriting Environments,10.1145/3786335.3813156,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
ACM,Benchmarking Robustness and Generalization in Multi-Agent Systems: A Case Study on Neural MMO,10.5555/3545946.3598978,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
ACM,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,10.1145/3786167.3788414,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,Can AI Deliberate? Evaluating Deliberative Quality and Stance Flow in Multi-Agent LLMs,10.1145/3772363.3798877,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Context Matters: Evaluating MCP-Based Context-Aware AI — A Case Study of Email Communications in Nonprofit Organizations,10.1145/3786167.3788426,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,Does Safety Molt? Evaluating LLM Safety in Multi-Agent Social Environments,10.1145/3786335.3813173,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,EvalAgent: Towards Evaluating News Recommender Systems with LLM-based Agents,10.1145/3746252.3761127,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,Evaluating and Improving Graph-based Explanation Methods for Multi-Agent Coordination,10.5555/3709347.3743941,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating Emotions while Watching a Movie using the Learning Type Fuzzy-Template-Matching method,10.1145/3623809.3623969,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating Intrinsic Geospatial Topological Reasoning in LLMs,10.1145/3764915.3770722,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating Large Language Models through Communication Games: An Agent-Based Framework Using Werewolf in Unity,10.1145/3723498.3723702,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating Social Acceptance of eXtended Reality (XR) Agent Technology: A User Study,10.1145/3750069.3750317,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating the Robustness of Multimodal Agents Against Active Environmental Injection Attacks,10.1145/3746027.3755646,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating Theory-of-Mind in Large Language Models Through Opponent Modeling,10.1145/3717511.3747081,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,Evaluating User Preferences for Gender and Embodiment Scope in Human-Agent Interaction Systems,10.1145/3786995.3787057,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,Externalizing Vulnerability and Verbalizing Thoughts to More Adequately Evaluate Trust in AI,10.1145/3623809.3623962,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Fairness Dynamics in Digital Economy Platforms with Biased Ratings,10.65109/cejt6762,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,10.1145/3678719.3685692,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,From Interaction to Impact: Towards Safer AI Agent Through Understanding and Evaluating Mobile UI Operation Impacts,10.1145/3708359.3712153,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,Generating and Evaluating Data of Daily Activities with an Autonomous Agent in a Virtual Smart Home,10.1145/3665331,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,How Government Agencies Evaluate Cybersecurity Capacity Building Outcomes: A Case of Malawi,10.1145/3680127.3680177,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,10.1145/3756681.3756984,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,IDAT: A Multi-Modal Dataset and Toolkit for Building and Evaluating Interactive Task-Solving Agents,10.1145/3726302.3730300,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,ImpReSS: Designing and Evaluating a Lightweight Implicit Recommender System in Conversational Support Agents,10.1145/3742413.3789151,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,Leveraging User Simulation to Develop and Evaluate Conversational Information Access Agents,10.1145/3616855.3635730,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,LLMEvalRec: An Agentic Framework for Simulating Users to Evaluate News Recommendation Systems,10.65109/efzy6916,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,MALLM: Multi-Agent Decision-Making with LLMs for Multi-User Edge-Sensor Environments,10.1145/3764944.3764947,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Mosaic: A Multi-Level Framework for Observing and Evaluating Performance of Multi-Agent Systems,10.1145/3772363.3798830,candidate_review,infrastructure,Borderline,"evaluation infrastructure (judge/harness/framework) — likely catalogued separately, not a row"
ACM,Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,10.1145/3786335.3813181,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
ACM,QD-MAPPER: A Quality Diversity Framework to Automatically Evaluate Multi-Agent Path Finding Algorithms in Diverse Maps,10.65109/uzvn6052,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,"REALM-Bench: A Benchmark for Evaluating Multi-Agent Systems on Real-world, Dynamic Planning and Scheduling Tasks",10.1145/3770854.3785692,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
ACM,Relying on the Metrics of Evaluated Agents,10.1145/3696410.3714864,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
ACM,Simulating and Evaluating Generative Modeling and Collaborative Filtering in Complex Social Networks,10.5555/3709347.3743580,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
ACM,Towards a Playground to Democratize Experimentation and Benchmarking of AI Agents for Network Troubleshooting,10.1145/3748496.3748990,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
ACM,What Insights Human Cognition Can Offer to Enhance Computational Models of Multimodal Language Generation?,10.1145/3746268.3759438,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,A Comparative Evaluation of Local Inference for Embodied Agents in Minecraft,/document/11522540/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,A Critical Evaluation of Agentic AI in Cybersecurity: The Pros and the Cons,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,"A Heuristic-First Evaluation Framework for Marketing AI Agents: Judging Quality, Actionability, and Trust",,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,A Hybrid Multi-Agent–ML Architecture for Trust-Oriented Seller Evaluation in B2C E-Commerce,/document/11502330/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,"A Multi-Agent AI Framework for Agile Workflow Automation, Issue Resolution, and Developer Performance Evaluation",,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,A Multi-Agent Workflow for 3D Visualization Code Generation and Evaluation Based on Spatial-MLLM,/document/11333708/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,"A Unified Evaluation Framework for Grounded LLM Architectures: Comparative Analysis of RAG, Self-RAG, and Agentic RAG",,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Achieving Fairness in DareFightingICE Agents Evaluation Through a Delay Mechanism,,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Agent Evaluation via Social Network Analysis in Educational E-CARGO Framework,/document/11139203/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,"Agentic AI for Automated Grading: System Design, Baseline Study, and Empirical Evaluation",,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,"Agentic AI Framework for Low-Resource Essay Evaluation via Scoring, Explanation, and Debate",,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Agentic AI Meets RAG: A Framework for Domain-Specific Knowledge Evaluation,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,"Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges",,candidate_agentic,survey,Borderline,survey/review/workshop (IC3? — check)
IEEE,Agentic AI Systems: Architecture and Evaluation Using a Frictionless Parking Scenario,,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,AI Agent Testing and Analysis Platform: A System for Automated Evaluation of AI Systems,/document/11437478/,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,AIvaluate: A Multi-Agent Framework for Automated Answer Script Evaluation Using Large Language Models and Semantic Vector Indexing,/document/11155081/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,ALIVE: An Agentic Longitudinal IDE-IPA Value Evaluation Framework for Innovation-Driven Enterprise Assessment,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,An Agent-based Evaluation Framework for Complex Code Generation,/document/11334422/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,An Automated System for Generating Chargeback Notices Based on Multi-Agent Collaboration and Its Practical Evaluation,/document/11352645/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,An Iterative Multi-Agent Analysis for Automated Evaluation in NLG Tasks,/document/11417045/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Analyzing RL Agent Competency in Air Combat: A Tool for Comprehensive Performance Evaluation,/document/10311176/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation,,candidate_review,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
IEEE,AutoGen-TraceKit: A Lightweight Framework for Process-Aware Evaluation of LLM Agents,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Automated Resume Evaluation Using Large Language Models: A Multi-Agent Framework With Fine-Tuning and Prompt Engineering,/document/11534618/,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Benchmarking Multi-Agent Collaboration Against Single LLM Systems in E-Commerce,,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
IEEE,Beyond Single-Framework Architectures: A Systematic Evaluation and Hybrid Design for Scalable Multi-Agent Coordination,/document/11481053/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Beyond Text Matching: Multi-Agent System for Comprehensive Research Paper Evaluation,/document/11378097/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,BioLabAgents: A Multi-Agent Framework for Scientific Idea Generation and Evaluation on Biomedical Research Trajectories,/document/11356120/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,"Bridging Gaps in Agentic AI: Verification, Coordination, and Evaluation",,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,ChemPaperBench: A Multi-Domain Benchmark for Literature-Grounded Chemical Reasoning of LLM-Based Multi-Agent Systems,,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
IEEE,Cognitive Agent Evaluation for Synthetic Pilot Training,/document/11257300/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Comparative Evaluation of Fragmentation and Encoding Strategies in a Web Agent Integrating RAG and Local LLM,/document/11340287/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Construction of a Quality Evaluation Index System for Response Texts in Medical AI Agents,,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Contextual Trust Evaluation for Robust Coordination in Large Language Model Multi-Agent Systems,/document/11409558/,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Contextualizing AI Agent Evaluation: Proposed Framework for Japanese Businesses,/document/11341698/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Design and Evaluation of an LLM-Based Agent for QoT Estimation and Performance Optimization in Optical Networks,/document/11157742/,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Designing Reputation Systems for Manufacturing Data Trading Markets: A Multi-Agent Evaluation With Q-Learning and IRL-Estimated Utilities,/document/11402482/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Development and Evaluation of an Agentic RAG with Embedded LLM-as-a Judge for Heart Failure Management: A Pilot Study,,candidate_agentic,infrastructure,Borderline,"evaluation infrastructure (judge/harness/framework) — likely catalogued separately, not a row"
IEEE,Dynamic Pickup and Delivery Task Allocation in Multi-Agent Robotic Systems: Vacancy Chain Approaches Evaluation,,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Enhanced Alpha-Beta Pruning and Evaluation Function Optimization for Pac-Man AI Agents,/document/11547420/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Enhancing Handwritten Answer Sheet Evaluation Through Large Language Models and Multi-Agent Reasoning,/document/11379082/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Evaluation Method of Ship Equipment Applicability Based on Agent Attention Transformer,/document/10920484/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Evaluation of Fault Isolability in Multi-Agent Systems,,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Evaluation of Graph- and Sampling-Based Path Planners for Multi-Agent Deployment in Known Urban Environments,/document/11494642/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Evaluation of LLM Powered Agentic AI for Solving Multi-Arm Bandit Problems,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Evaluation of Multi-Armed Bandit Decision Making in Multi-Agent Cyber Physical Games,,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,FARE: Financial Agentic Reasoning and Evaluation for Earnings Call Transcripts,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,FitnessAgent: A Unified Agent Framework for Open-Set and Personalized Fitness Evaluation,/document/11128810/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,"Future-Proofing Identity Security for Agentic AI Systems: Design, Implementation, and Evaluation of an Identity Fabric",,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Generative AI and Multi-Agent Systems Approach to Psychometric Evaluation for Human Resource Management and Talent Acquisition,/document/11015385/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,IAEAgent: LLM-Based Educational Agent for Instructional Alignment Evaluation in University Courses,/document/11533481/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,IEBench: Benchmarking Unlearning Identity-Event Entangled Concepts for MLLM-Based Systems in Agentic Edge Networks,,candidate_agentic,benchmark/app,Borderline,named benchmark in an applied domain — confirm it is a reusable agent benchmark vs. app eval
IEEE,Implementation of Wireless Network Quality Evaluation Method for Agent Twins Based on Active Passive Dual Periodic Collaborative Measurement,/document/11064354/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,InGen: An LLM-Agent Based Approach for Automatically Generating Evaluation Indicator System for Avionics,/document/11274390/,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Integrating Fuzzy Evaluation Agents and LLM-Based Robots for Multilingual Interactive Applications,/document/11287789/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Intelligent Agent-Based Dynamic Reliability Evaluation for Optical Networks: A Comprehensive Framework and Case Study,/document/10812963/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,"Intelligent Agents for Requirements Engineering: Use, Feasibility and Evaluation",/document/11190353/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Intelligent Automation of Student Record Standardization: An Evaluation of Multi-AI Agent Efficacy in Educational Administration,,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Lightweight Dual-Agent Architecture for 2-D Shadow Puppetry: Real-Time Edge Deployment and Evaluation,/document/11435987/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,LLM-Based Dynamic Multi-Agent Systems for Evaluation of Financial Trading Mechanism,,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,LLM-based Intelligent Evaluation Agent with Knowledge Graph Construction for Human-Machine Interactive Learning*,/document/11343717/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,MACS: A Cognitive Diversity Multi-Agent Consensus Framework for Bias Mitigation in Automated Evaluation Systems,,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,MAEDA: An LLM-Powered Multi-Agent Evaluation Framework for EDA Tool Documentation QA,/document/11539506/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,MELF: Multi-Agent Evaluation for LLMs Fairness Based on Hierarchical Genetic Algorithm,/document/11388881/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Mission Reliability Evaluation of Dynamic Distributed Cooperative Systems Based on Multi-agent Modeling and Simulation,/document/10336149/,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Multi-Agent Based Casual Triple Extraction For Factuality Evaluation Using Large Language Models,/document/10917708/,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Multi-Agent Collaborative Closed-Loop Planning - Evaluation - Assessment Framework: Optimization and Interpretability Evaluation,,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Multi-Agent Cooperative Perception: A Structural Evaluation Framework for Autonomous Systems,,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Multi-Agent Evaluation for Energy Management by Practically Scaling Q-Rank,/document/11292972/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,"Multi-Agent Systems and Agentic AI in Business Process Automation: Taxonomy, Benchmarks, and an Open Research Agenda",,candidate_agentic,survey,Borderline,survey/review/workshop (IC3? — check)
IEEE,Multi-Agent-Based Network Traffic Dataset Quality Evaluation Framework,,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,NetIQ: A Tri-Modular Dynamic Evaluation Framework for Intelligent Agent Networks,,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Persona-Driven Feedback Agents for High-Stakes Documents: A Multi-Perspective Evaluation of Global Talent Visa Submissions,/document/11498196/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Research on Performance Evaluation Technology of Metering Devices Based on the Smart Agent for Business Expansion and Metering,/document/11331985/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Retrieval Augmented Generation (RAG) for Fintech: Agentic Design and Evaluation,,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
