Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Preclinical Evaluation of an Anti-EphA2 Minibody-Based ImmunoPET Agent as a Diagnostic Tool For Cancer,Molecular Imaging and Biology,,,,10.1007/s11307-025-02048-7,Peggy A. BirikorangH. E. G. WedaarachchiJordan A. SmithGary KohanbashW. Barry Edwards,2025,https://link.springer.com/article/10.1007/s11307-025-02048-7,Article
"Boron Containing Curcumin-Like Compound as an Acetylcholinesterase Inhibitor and Anticancer Agent: Synthesis, Biological Evaluation, and Computational Insights",Cell Biochemistry and Biophysics,,,,10.1007/s12013-025-01885-1,Ferah Comert OnderKadircan UralAlper OnderBulent OzpolatMehmet Ay,2025,https://link.springer.com/article/10.1007/s12013-025-01885-1,Article
T2F: a domain-agnostic multi-agent framework for unstructured text to factuality evaluation items generation,Discover Artificial Intelligence,,,,10.1007/s44163-025-00294-w,Xin TongJingya WangYasen AizeziHanming ZhaiBo Jin,2025,https://link.springer.com/article/10.1007/s44163-025-00294-w,Article
"Eggshell-derived calcium oxide nanoparticles as promising anti-cancer agent: synthesis, characterization and in-vitro evaluation",Interactions,,,,10.1007/s10751-025-02310-y,Amey Vikas MahadikPrathamesh Rajesh PharandeAvinash Ashok SurvaseVilasrao Manikrao GhorpadeKaran Bandu PawarSnehal Anand MasurkarSonal Ramesh Inje,2025,https://link.springer.com/article/10.1007/s10751-025-02310-y,Article
In silico evaluation of anticancer peptide as a novel therapeutic agent against AURKA for targeting oral carcinogenesis,Journal of Molecular Modeling,,,,10.1007/s00894-025-06521-6,Deepak SaravananMonisha Mohan,2025,https://link.springer.com/article/10.1007/s00894-025-06521-6,Article
Preclinical Evaluation of Novel SGLT2-Targeted Near-Infrared Optical Imaging Agent for Early-Stage Pulmonary Adenocarcinoma,Molecular Imaging and Biology,,,,10.1007/s11307-025-02029-w,Katherine Ortmeyer WelchKelly Anne McGovernLydia ChenRyan KrouseKevin GuoJeffrey HuangMichael BrownJake MlakarVenu BandiDavid HoltPaul ZhangSunil Singhal,2025,https://link.springer.com/article/10.1007/s11307-025-02029-w,Article
Potential Play Evaluation with Learning-Based Agent Modeling,Machine Learning in Sports,,,,10.1007/978-981-96-1445-5_4,Keisuke Fujii,2025,https://link.springer.com/chapter/10.1007/978-981-96-1445-5_4,Chapter
Biological and computer-aided evaluation of 3-methoxy-13α-estrone-16α-diphenylphosphine oxide as a new antiestrogenic agent,Scientific Reports,,,,10.1038/s41598-025-27905-x,Sándor BarthaPéter GermánNoémi BózsityLászló G. PuskásRita BörzseiCsaba HetényiIstván ZupkóErzsébet MernyákRenáta Minorics,2025,https://link.springer.com/article/10.1038/s41598-025-27905-x,Article
On Risk Evaluation and Control of Distributed Multi-agent Systems,Journal of Optimization Theory and Applications,,,,10.1007/s10957-024-02464-9,Aray AlmenDarinka Dentcheva,2024,https://link.springer.com/article/10.1007/s10957-024-02464-9,Article
ML-AMP1 as a Potential Antifungal Agent: Activity and Therapeutic Evaluation in a Guinea Pig Model of Dermatophytosis,International Journal of Peptide Research and Therapeutics,,,,10.1007/s10989-025-10754-7,Shaojie ZhangYiqing SunKedong YinJinhua ZhangLan ZhangYufeng YangYuhan WangRuifang Li,2025,https://link.springer.com/article/10.1007/s10989-025-10754-7,Article
Safety rapid evaluation method and system of pump truck upper structure based on combination weighting and agent model,Journal of Engineering and Applied Science,,,,10.1186/s44147-025-00713-w,Qing DongJiachen MaGening XuLingjuan She,2025,https://link.springer.com/article/10.1186/s44147-025-00713-w,Article
Evaluation of the Therapeutic Effectiveness of a Composite Agent in the Treatment of Radiation–Thermal Damage,Biology Bulletin,,,,10.1134/S1062359024701760,T. R. GaynutdinovK. N. VaginR. N. Nizamov,2024,https://link.springer.com/article/10.1134/S1062359024701760,Article
CADD based designing and biological evaluation of novel triazole based thiazolidinedione coumarin hybrids as antidiabetic agent,Scientific Reports,,,,10.1038/s41598-025-88944-y,Anchal SharmaAnmol NarangNitish KumarRupali RanaMeghaPoojaMuskan DhirHarmandeep Kaur GulatiJyotiAanchal KhannaJatinder Vir SinghSukhraj KaurPreet Mohinder Singh Bedi,2025,https://link.springer.com/article/10.1038/s41598-025-88944-y,Article
"Design, synthesis, and biological evaluation of Osimertinib–Cy7 (OSA-Cy7) conjugate as potential theranostic agent targeting activating EGFR mutations",BMC Biotechnology,,,,10.1186/s12896-025-01025-w,Ying DongJinhang LiJia WuLu HuangXiaoqiong LiQiaoxuan ZhangXianzhang HuangPengwei Zhang,2025,https://link.springer.com/article/10.1186/s12896-025-01025-w,Article
Development and Characteristic Evaluation of Chemical Adhesive Plugging Agent,Proceedings of the International Field Exploration and Development Conference 2024,,,,10.1007/978-981-96-4922-8_3,Wei LiuXiao-ping ZhangLei Chen,2025,https://link.springer.com/chapter/10.1007/978-981-96-4922-8_3,Conference paper
Toward Automating Agent-Based Model Generation: A Benchmark for&#xa0;Model Extraction Using Question-Answering Techniques,Advances in Social Simulation,,,,10.1007/978-3-031-91782-0_17,Siamak KhatamiChristopher Frantz,2025,https://link.springer.com/chapter/10.1007/978-3-031-91782-0_17,Conference paper
Evaluation of <i>Bacillus amyloliquefaciens</i> Strain TV-17C as a&#xa0;Potential Biocontrol Agent Against Postharvest Blue Mold in Oranges,Applied Fruit Science,,,,10.1007/s10341-025-01646-7,Meltem AvanEslam Mohamed AlbastawisiRecep KotanŞeyma FiratGökhan Erarslan,2025,https://link.springer.com/article/10.1007/s10341-025-01646-7,Article
Selection criteria for foaming agent and mechanical performance evaluation of conditioned soil for EPB shield tunneling in water-rich sand strata,Scientific Reports,,,,10.1038/s41598-026-38868-y,Yuhang ZhouBitang ZhuRuping LuoJin YuQijing YangSanjay Nimbalkar,2026,https://link.springer.com/article/10.1038/s41598-026-38868-y,Article
Agent-Based Modelling Tools for&#xa0;CPS - An Experimental Evaluation,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Digital Twins: The PAAMS Collection",,,,10.1007/978-3-031-73058-0_20,Mert Ege CanBurak KaradumanMoharram Challenger,2025,https://link.springer.com/chapter/10.1007/978-3-031-73058-0_20,Conference paper
Multi-agent evaluation for energy management by practically scaling <i>α</i>-rank,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2300438,Yiyun SunSenlin ZhangMeiqin LiuRonghao ZhengShanling DongXuguang Lan,2024,https://link.springer.com/article/10.1631/FITEE.2300438,Article
"Rational Design of Chlorinated Hydroxyxanthone as Anticancer Agent: Molecular Docking, Molecular Dynamic Simulation, ADMET, One-Pot Synthesis, and In Vitro Evaluation",Cell Biochemistry and Biophysics,,,,10.1007/s12013-025-01796-1,Yehezkiel Steven KurniawanHarizalNela FatmasariErvan YudhaJuminaHarno Dwi PranowoEti Nurwening Sholikhah,2025,https://link.springer.com/article/10.1007/s12013-025-01796-1,Article
Evaluation of Vaccination Strategies in an Agent-Based SEIRV Epidemic Model,Advances in Digital Health and Medical Bioengineering II,,,,10.1007/978-3-032-24724-7_33,Marius Gavrilescu,2026,https://link.springer.com/chapter/10.1007/978-3-032-24724-7_33,Conference paper
"Design, synthesis, deep learning-guided prediction, and biological evaluation of novel pyridine-thiophene-based imine-benzalacetophenone hybrids as promising antimicrobial agent",Journal of Computer-Aided Molecular Design,,,,10.1007/s10822-025-00687-0,Krupa G. PrajapatiVikas A. DesaiMustafa Alhaji IsaRiki P. TailorBhadresh R. SudaniJignesh V. Pandya,2025,https://link.springer.com/article/10.1007/s10822-025-00687-0,Article
Design and evaluation of vaccines for the control of the etiological agent of East Coast fever,Parasites & Vectors,,,,10.1186/s13071-024-06517-w,José de la FuenteIsidro SobrinoMargarita Villar,2024,https://link.springer.com/article/10.1186/s13071-024-06517-w,Article
SecKQL-Agent: A Real-World APT29 Events Benchmark and&#xa0;Framework for&#xa0;Reliable Text-to-KQL in&#xa0;Security Analytics,Database Systems for Advanced Applications,,,,10.1007/978-981-92-0378-9_17,Huan ZhangHaiyan WangShaofang LongHao TanZiyu WangYan JiaZhaoquan Gu,2026,https://link.springer.com/chapter/10.1007/978-981-92-0378-9_17,Conference paper
"Preliminary study of a transarterial radioembolization agent using Samarium-153 microspheres: synthesis, characterization, and in vivo evaluation in normal mice",Journal of Radioanalytical and Nuclear Chemistry,,,,10.1007/s10967-025-10128-9,Amal Rezka PutraAndi ArjunaHerlan SetiawanAulia Arivin BillahSumandi JuliyantoAhsanal FikriIndra SaptiamaMiftakul MunirMarissa AngelinaRizal Maarif RukmanaIsa MahendraVeronika Yulianti SusiloLigwina Dita PertiwiWening LestariBoky Jeanne TuasikalRien Ritawidya,2025,https://link.springer.com/article/10.1007/s10967-025-10128-9,Article
Preparation of oxidized Starch/PVA/ZnO Nanobiocomposite hydrogel as drug delivery agent: SERS-Driven vancomycin In-vitro release kinetics and biological potential evaluation,Journal of Polymer Research,,,,10.1007/s10965-026-04920-8,Awaji Y. SafhiAmar Yasser JassimKhalaf F. AlsharifFuad M. AlzahraniKhalid J. AlzahraniArslan BashirAnfal FatimaNasir Mehmood,2026,https://link.springer.com/article/10.1007/s10965-026-04920-8,Article
Evaluation of the effectiveness and adverse events of oxycodone as a pain-relieving agent in 103 dogs with tumors: a retrospective study,BMC Veterinary Research,,,,10.1186/s12917-025-04987-3,Byung-Gee KoTae-Hyun KimHyun NamkungHye-Gyu LeeYoung-Jun KangGa-Hee YounKyoung-Won SeoHwa-Young YounMin-Ok Ryu,2025,https://link.springer.com/article/10.1186/s12917-025-04987-3,Article
Evaluation of an Antifungal Agent Against <i>Nakaseomyces Glabratus</i> in the in Vivo Model <i>Galleria Mellonella</i>,Current Microbiology,,,,10.1007/s00284-025-04715-y,Edson E. Maqueda-CabreraMayra Cuéllar-Cruz,2026,https://link.springer.com/article/10.1007/s00284-025-04715-y,Article
A Task Complexity Evaluation Framework for&#xa0;Mobile AI Agent Applications,HCI International 2025 Posters,,,,10.1007/978-3-031-94171-9_43,Jiazhi WenChenyu LiYuwei YangJianye Li,2025,https://link.springer.com/chapter/10.1007/978-3-031-94171-9_43,Conference paper
"Preparation, Evaluation and Field Application of Thermally Induced Crosslinked Polymer Gel Leakage Plugging Agent",Journal of Polymers and the Environment,,,,10.1007/s10924-024-03334-1,Jindong ChenHengbin QiuLesly Dasilva Wandji DjouonkepJunxian LvBinqiang Xie,2024,https://link.springer.com/article/10.1007/s10924-024-03334-1,Article
Synthesis and biological evaluation of echinomycin analogues as potential colon cancer agent,Scientific Reports,,,,10.1038/s41598-024-58196-3,Keita KojimaHiroaki KonishiKyoka MomosakiYuya KomataniAkira KatsuyamaKoji NakagawaKayoko KanamitsuFumika YakushijiMikihiro FujiyaSatoshi Ichikawa,2024,https://link.springer.com/article/10.1038/s41598-024-58196-3,Article
Laboratory evaluation <i>of Beauveria bassiana</i> strain ATCC74040 as a potential biocontrol agent of <i>Aculops lycopersici</i>,Scientific Reports,,,,10.1038/s41598-025-24062-z,Anna SybilskaNina MądryElżbieta Wójcik-GrontEwa Puchalska,2025,https://link.springer.com/article/10.1038/s41598-025-24062-z,Article
"LLM-Based Multi-agent Systems: Frameworks, Evaluation, Open Challenges, and Research Frontiers",Computational Intelligence,,,,10.1007/978-3-032-15632-7_9,Soharab Hossain Shaikh,2026,https://link.springer.com/chapter/10.1007/978-3-032-15632-7_9,Conference paper
"Design, synthesis, and biological evaluation of ACF-03: a novel anti-fibrotic and antioxidant agent targeting ROS-TGF-β1-HIF-1α axis",Applied Biological Chemistry,,,,10.1186/s13765-025-01007-8,Hiruni Nilshi Indeevarie AbeysiriwardhanaJin-Hyuk ChoiJoshua Miguel AnandappaAyusha MallaMoonjae Cho,2025,https://link.springer.com/article/10.1186/s13765-025-01007-8,Article
"Radiolabeling and evaluation of <sup>64+67</sup>Cu-2,2’-(1,2,4-Oxadiazole-3,5-diyl)di aniline as a theranostic agent for solid tumors",Scientific Reports,,,,10.1038/s41598-025-21804-x,Mohamed A. GizawyMohammed Salah AyoupAhmad S. KodousMohamed Taha AbdelrahmanM. A. Motaleb,2025,https://link.springer.com/article/10.1038/s41598-025-21804-x,Article
Multi-agent LLM with&#xa0;the&#xa0;Chain-of-Thought for&#xa0;Design Creativity Evaluation,HCI International 2025 – Late Breaking Papers,,,,10.1007/978-3-032-12385-5_21,Jiazhen ZhangJi HanSaeema Ahmed-Kristensen,2026,https://link.springer.com/chapter/10.1007/978-3-032-12385-5_21,Conference paper
Development and performance evaluation of foaming agent for heavy oil development and study on oil displacement mechanism in heterogeneous micromodel,Journal of Petroleum Exploration and Production Technology,,,,10.1007/s13202-025-01958-0,Mingguo PengQing WenLuhan WangQifan LiangJun YangQi ZhangJing Zhao,2025,https://link.springer.com/article/10.1007/s13202-025-01958-0,Article
An In Vitro Evaluation of <i>Trichoderma harzianum</i> as a Biocontrol Agent for Managing Fungal Diseases in <i>Rosa grandiflora</i>,Biology Bulletin,,,,10.1134/S1062359025611929,Syed Amjad BilalKhan SherHussain ShahShabir AhmadKhalid H. AlamerRashid Iqbal,2026,https://link.springer.com/article/10.1134/S1062359025611929,Article
In vitro and in vivo evaluation of thapsigargin as an antiviral agent against transmissible gastroenteritis virus,Veterinary Research,,,,10.1186/s13567-024-01359-x,Yang LiYuanyuan LiuYunhang ZhangChen TanYifei CaiYue ZhangJianing ChenYuguang FuGuangliang Liu,2024,https://link.springer.com/article/10.1186/s13567-024-01359-x,Article
"Design synthesis and evaluation of a novel 1,3,4-thiadiazole derivative as a potent anticancer and antibacterial agent supported by electronic property analysis and simulation studies",Scientific Reports,,,,10.1038/s41598-026-53341-6,Abdullah S. AlawamR. RajeshAbhishek Kumar VermaAbhishek DadhichV. ChoudriHassan A. RudayniMubarak A. AlamriManoj Kumar Bohra,2026,https://link.springer.com/article/10.1038/s41598-026-53341-6,Article
Evaluation of Pharmacokinetic and Pharmacodynamic (PK/PD) of Novel Fluorenylmethoxycarbonyl- Phenylalanine Antimicrobial Agent,Pharmaceutical Research,,,,10.1007/s11095-024-03690-6,Avinash Y. GahaneDevesh Pratap VermaSwagata SarkarAshwani K. Thakur,2024,https://link.springer.com/article/10.1007/s11095-024-03690-6,Article
Preclinical evaluation of [<sup>13x</sup>La]La-FAP-2286 as a novel theranostic agent for tumors expressing fibroblast activation protein,Scientific Reports,,,,10.1038/s41598-025-91716-3,Ali ShirpourAsghar HadadiSamaneh ZolghadriSara VosoughiSaeed Rajabifar,2025,https://link.springer.com/article/10.1038/s41598-025-91716-3,Article
Performance evaluation of distributed multi-agent IoT monitoring based on intelligent reflecting surface,EURASIP Journal on Advances in Signal Processing,,,,10.1186/s13634-024-01132-4,Ying SunJiajia HuangFusheng Wei,2024,https://link.springer.com/article/10.1186/s13634-024-01132-4,Article
Biological Efficacy Evaluation of Lab Synthesized MgGA Bio-MOF as an Antioxidant Agent and Drug Vehicle,Journal of Cluster Science,,,,10.1007/s10876-024-02650-9,Manu SharmaGagandeep KaurPawan Kumar,2024,https://link.springer.com/article/10.1007/s10876-024-02650-9,Article
"[<sup>177</sup>Lu]Lu-EDTMP —a bone pain palliating agent: pharmacokinetics, biodistribution, safety profile and clinical evaluation in osseous metastatic patients",European Journal of Nuclear Medicine and Molecular Imaging,,,,10.1007/s00259-025-07218-x,Shabana SaeedDiana PaezEnrique Estrada LobatoRoberto C. Delgado BoltonGhazal JameelFarida QureshiOlivier PelletAnita BrinkAdrian SotoAnna GrigoryanPeter KnollFrancesco Giammarile,2025,https://link.springer.com/article/10.1007/s00259-025-07218-x,Article
"Synthesis, biological evaluation, and molecular docking of novel 1,3,4-substituted-thiadiazole derivatives as potential anticancer agent",BMC Chemistry,,,,10.1186/s13065-024-01196-1,Samin A. ShaikhSatish N. WakchaureShivaji R. LabhadeRaju R. KaleRajasekhar R. AlavalaSantosh S. ChobeKamlesh S. JainHrishikesh S. LabhadeDipak D. Bhanushali,2024,https://link.springer.com/article/10.1186/s13065-024-01196-1,Article
Evaluation of antibacterial and antibiofilm activities of green-synthesized iron oxide nanoparticles using <i>Cyperus rotundus</i> extract as a reducing and stabilizing agent,Journal of Materials Science: Materials in Medicine,,,,10.1007/s10856-025-06914-2,Ankita ParmanikPrafful Pradeep KothariAnindya BoseSwati Biswas,2025,https://link.springer.com/article/10.1007/s10856-025-06914-2,Article
Experimental of Pressure-Bearing Effect Evaluation of Temporary Plugging Agent Combination,Proceedings of the International Field Exploration and Development Conference 2024,,,,10.1007/978-981-96-5158-0_8,Guang-cong RenYang ZhangPeng-fei TangHong-lin ZhengXin-fang MaLitao ShangSiqi Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-5158-0_8,Conference paper
Health Management Evaluation Algorithm for College Students Based on Distributed Multi-agent System,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",,,,10.1007/978-3-032-18634-8_4,Sanuo ChengLing Feng,2026,https://link.springer.com/chapter/10.1007/978-3-032-18634-8_4,Conference paper
Empirical Evaluation of&#xa0;Motion Primitives in&#xa0;Multi-Agent Path Finding with&#xa0;Kinodynamic Constraints,"Proceedings of the Ninth International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’25), Volume 2",,,,10.1007/978-3-032-13612-1_41,Nikita ZavarzinKonstantin Yakovlev,2026,https://link.springer.com/chapter/10.1007/978-3-032-13612-1_41,Conference paper
Durability Evaluation of Cement Paste with Ginger by Adding Defoaming Agent,"Proceedings of 7th International Conference on Civil Engineering and Architecture, Volume 2",,,,10.1007/978-981-96-6111-4_1,Mio KawashimaSyu-ichiro SawadaTakuya Kondo,2025,https://link.springer.com/chapter/10.1007/978-981-96-6111-4_1,Conference paper
CommonHealth: Multi-agent Evaluation of&#xa0;Blockchain-Based Patient-Centred Health Networks,Multi-Agent Systems,,,,10.1007/978-3-031-93930-3_24,Mark MatthewsRem CollierEvan Spendlove,2025,https://link.springer.com/chapter/10.1007/978-3-031-93930-3_24,Conference paper
"Synthesis, biological evaluation, and molecular docking of a bromo-hydrazide derivative as a bacterial targeting agent and its radiolabeling with technetium-99m for diagnostic applications",Journal of Radioanalytical and Nuclear Chemistry,,,,10.1007/s10967-025-10219-7,Iqra RafiqueSaima TariqMuhammad SaifullahFloris P. J. T. RutjesShakera Khatoon Rizvi,2025,https://link.springer.com/article/10.1007/s10967-025-10219-7,Article
Preparation and biological evaluation of <sup>99m</sup>Tc-labeled polyethylene glycol-modified bis(4-methyl-2-nitroimidazole) PnAO as a hypoxia imaging agent,Journal of Radioanalytical and Nuclear Chemistry,,,,10.1007/s10967-025-10080-8,Shuo LiTaiwei Chu,2025,https://link.springer.com/article/10.1007/s10967-025-10080-8,Article
Preparation and evaluation of [<sup>64</sup>Cu]Cu-labeled bisphosphonate amide of DOTA using reactor-produced <sup>64</sup>Cu as an affordable skeletal PET imaging agent,Scientific Reports,,,,10.1038/s41598-026-43985-9,Priyalata S. S. ShettyK. V. VimalnathSourav PatraSutapa RakhitAvik ChakrabortySudipta Chakraborty,2026,https://link.springer.com/article/10.1038/s41598-026-43985-9,Article
Evaluation of hafnium oxide nanoparticles imaging characteristics as a contrast agent in X-ray computed tomography,Radiological Physics and Technology,,,,10.1007/s12194-024-00797-8,Arash SafariMaziyar MahdaviReza FardidAlireza OveisiReza JalliMasoud Haghani,2024,https://link.springer.com/article/10.1007/s12194-024-00797-8,Article
Evaluation of <i>Aquamicrobium lusatiense</i> NLF 2–7 as a Biocontrol Agent in Manure Composting: Effects on Odorous Compounds and Microbial Community Under Mesophilic Conditions,Microbial Ecology,,,,10.1007/s00248-025-02613-1,Riuh WardhaniJinho ShinSeunghun LeeJumi LeeYoung Ho NamMi-Hwa LeeKook-ll HanHeekwon Ahn,2025,https://link.springer.com/article/10.1007/s00248-025-02613-1,Article
Agent-based manufacturing — review and expert evaluation,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-023-11517-8,Terrin PulikottilLuis A. Estrada-JimenezHamood Ur RehmanFan MoSanaz Nikghadam-HojjatiJose Barata,2023,https://link.springer.com/article/10.1007/s00170-023-11517-8,Article
Predicate-Based Explanation of&#xa0;a&#xa0;Reinforcement Learning Agent via&#xa0;Action Importance Evaluation,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,,10.1007/978-3-031-74630-7_2,Léo SaulièresMartin C. CooperFlorence Dupin de Saint-Cyr,2025,https://link.springer.com/chapter/10.1007/978-3-031-74630-7_2,Conference paper
Evaluation of the Antimicrobial Activity of Triple Enzyme-Embedded Organic–Inorganic Hybrid Nanoflowers (hNFs) in Comparison with Powerful Antimicrobial Agent Chitosan,Current Microbiology,,,,10.1007/s00284-024-03884-6,Duygu AydemirSeda ÇakırNalan ÖzdemirNuriye Nuray Ulusu,2024,https://link.springer.com/article/10.1007/s00284-024-03884-6,Article
Evaluation of phenylurea-based antimicrobial agent in natural rubber latex dipped film as an application for medical gloves,Journal of Rubber Research,,,,10.1007/s42464-024-00261-7,M.Y. NorhanifahM. Asrul M.S. Shabinah FilzaC.A. RuslimieA. Nurulhuda,2024,https://link.springer.com/article/10.1007/s42464-024-00261-7,Article
Multi-agent System for Multi-modal Educational Content Generation and Evaluation: A Case Study,Behavioural and Social Computing,,,,10.1007/978-981-95-7144-4_34,Jingjun Wei,2026,https://link.springer.com/chapter/10.1007/978-981-95-7144-4_34,Conference paper
