title,doi,status,reason
DriveEval-Agent: A Closed-Loop Framework Combining Zero-Shot Benchmarking and Full Fine-Tuning for Multimodal Autonomous Driving,10.1145/3743093.3770936,dup_openalex,already in OpenAlex 648
EvalAgent: Interactive Comparative Evaluation of Computer-Using GUI Agents,10.1145/3742414.3795096,exclude_fair-division,fair-division/econ-theory
Quantitative and qualitative evaluation of the acceptability of an Embodied Conversational Agent for insomnia screening,10.1145/3652988.3673940,exclude_fair-division,fair-division/econ-theory
A Review of User Experience Evaluation Methods for Intelligent Virtual Agents: A Study of Multi-dimensional Frameworks and Application Scenarios,10.1145/3765766.3765862,exclude_fair-division,fair-division/econ-theory
Enhancing Compliance Training with LLM-Powered Conversational Agents: A Design Science Evaluation of FERPA Education,10.1145/3768310.3807798,exclude_fair-division,fair-division/econ-theory
Toward Sensor-In-the-Loop LLM Agent: Benchmarks and Implications,10.1145/3715014.3722082,dup_openalex,already in OpenAlex 648
Can AI Deliberate? Evaluating Deliberative Quality and Stance Flow in Multi-Agent LLMs,10.1145/3772363.3798877,candidate_review,manual review
Third Workshop on Human-Centered Evaluation and Auditing of Language Models: AI Agents-in-the-Loop,10.1145/3772363.3778709,exclude_fair-division,fair-division/econ-theory
Mosaic: A Multi-Level Framework for Observing and Evaluating Performance of Multi-Agent Systems,10.1145/3772363.3798830,candidate_review,manual review
Joint Evaluation : A Human + LLM + Multi-Agents Collaborative Framework for Comprehensive AI Safety (Jo.E),10.1145/3779211.3795738,exclude_fair-division,fair-division/econ-theory
German and Dutch Translations of the Artificial-Social-Agent Questionnaire Instrument for Evaluating Human-Agent Interactions,10.1145/3652988.3673928,exclude_conversational,conversational/health/chatbot agent
ViBench: A Benchmark on Vibe Coding,10.1145/3786335.3813162,candidate_agentic,LLM/agentic benchmark or eval
CAIM: Development and Evaluation of a Cognitive AI Memory Framework for Long-Term Interaction with Intelligent Agents,10.1145/3742413.3789222,exclude_fair-division,fair-division/econ-theory
LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,10.1145/3731599.3767582,dup_openalex,already in OpenAlex 648
Evaluating and Improving Graph-based Explanation Methods for Multi-Agent Coordination,10.5555/3709347.3743941,candidate_review,manual review
Evaluating the Predictability of Disaster Evacuation Behavior using LLM Agent Simulations,10.1145/3764925.3770907,exclude_agent-based modeling,agent-based modeling/sim
Evaluating User Preferences for Gender and Embodiment Scope in Human-Agent Interaction Systems,10.1145/3786995.3787057,candidate_review,manual review
Evaluating Social Acceptance of eXtended Reality (XR) Agent Technology: A User Study,10.1145/3750069.3750317,candidate_review,manual review
Benchmarking Memory Architectures for Mobile Agents in Short-Term and Long-Term Applications,10.1145/3812836.3814752,candidate_agentic,LLM/agentic benchmark or eval
Research on Quality Evaluation System and Methods for Cloud-Native Agents,10.1145/3768184.3768223,exclude_fair-division,fair-division/econ-theory
GENEA Workshop 2025: The 6th Workshop on Generation and Evaluation of Non-verbal Behaviour for Embodied Agents,10.1145/3746027.3762105,exclude_fair-division,fair-division/econ-theory
OpenMCP: an open-source self-hosted benchmarking harness for MCP-enabled computer use agents,10.1145/3805621.3807649,candidate_agentic,LLM/agentic benchmark or eval
Benchmarking the Overhead of Distributed Tracing Agents,10.1145/3777884.3797004,candidate_agentic,LLM/agentic benchmark or eval
ES-MemEval: Benchmarking Conversational Agents on Personalized Long-Term Emotional Support,10.1145/3774904.3792143,exclude_conversational,conversational/health/chatbot agent
ColorBench: Benchmarking Mobile Agents with Graph-Structured Framework for Complex Long-Horizon Tasks,10.1145/3774904.3792215,candidate_agentic,LLM/agentic benchmark or eval
Alan's Speakeasy - An Ecosystem for the Evaluation of Conversational Agents,10.1145/3701716.3715165,exclude_fair-division,fair-division/econ-theory
A Holistic Evaluation Methodology for Multi-Party Spoken Conversational Agents,10.1145/3652988.3673966,exclude_fair-division,fair-division/econ-theory
Socio-Normative Trustworthiness of LLM Agents: Evaluating Autonomy Support and Representational Fairness Across Languages and Identities,10.65109/lchb2977,dup_openalex,already in OpenAlex 648
Beyond Accuracy: Cybersecurity Resilience Evaluation of Intrusion Detection System against DOS Attacks Using Agent-Based Simulation,10.5555/3643142.3643151,exclude_fair-division,fair-division/econ-theory
Team incubation and agency operation effect evaluation and decision-making science of all media matrix under industrial Internet,10.1145/3756423.3756552,exclude_fair-division,fair-division/econ-theory
OWLViz: An Open-World Benchmark for Visual Question Answering,10.65109/epvo9609,candidate_agentic,LLM/agentic benchmark or eval
Evaluating Large Language Models through Communication Games: An Agent-Based Framework Using Werewolf in Unity,10.1145/3723498.3723702,candidate_agentic,LLM/agentic benchmark or eval
"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",10.1145/3768292.3770387,dup_openalex,already in OpenAlex 648
Building Conversational Agents for Stroke Rehabilitation: An Evaluation of Large Language Models and Retrieval Augmented Generation,10.1145/3652988.3673924,exclude_fair-division,fair-division/econ-theory
Hijacking JARVIS: Benchmarking Mobile GUI Agents against Unprivileged Third Parties,10.1145/3737902.3768354,candidate_agentic,LLM/agentic benchmark or eval
"MVISU-Bench: Benchmarking Mobile Agents for Real-World Tasks by Multi-App, Vague, Interactive, Single-App and Unethical Instructions",10.1145/3746027.3755695,candidate_agentic,LLM/agentic benchmark or eval
BEHAVE AI: BEst Practices and Guidelines for Human-Centric Design and EvAluation of ProactiVE AI Agents,10.1145/3708557.3716155,exclude_fair-division,fair-division/econ-theory
FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,10.1145/3746027.3758285,candidate_agentic,LLM/agentic benchmark or eval
Playing Dumb to Get Smart: Creating and Evaluating an LLM-based Teachable Agent within University Computer Science Classes,10.1145/3706598.3713644,dup_openalex,already in OpenAlex 648
Effects of Presentation Modalities in Virtual Museum Guides on Agent Impressions and Painting Evaluations.,10.1145/3623809.3623958,exclude_fair-division,fair-division/econ-theory
From Interaction to Impact: Towards Safer AI Agent Through Understanding and Evaluating Mobile UI Operation Impacts,10.1145/3708359.3712153,candidate_agentic,LLM/agentic benchmark or eval
Multi-Agent Reinforcement Learning for Decentralized Reservoir Management via Murmuration Intelligence,10.1145/3764944.3764953,exclude_MARL,MARL/RL-theory/control
Towards a Playground to Democratize Experimentation and Benchmarking of AI Agents for Network Troubleshooting,10.1145/3748496.3748990,candidate_agentic,LLM/agentic benchmark or eval
HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents,10.1145/3715109,dup_openalex,already in OpenAlex 648
MALLM: Multi-Agent Decision-Making with LLMs for Multi-User Edge-Sensor Environments,10.1145/3764944.3764947,candidate_review,manual review
Benchmarking Robustness and Generalization in Multi-Agent Systems: A Case Study on Neural MMO,10.5555/3545946.3598978,candidate_agentic,LLM/agentic benchmark or eval
Generating and Evaluating Data of Daily Activities with an Autonomous Agent in a Virtual Smart Home,10.1145/3665331,candidate_review,manual review
GENEA Workshop 2024: The 5th Workshop on Generation and Evaluation of Non-verbal Behaviour for Embodied Agents,10.1145/3678957.3688818,exclude_fair-division,fair-division/econ-theory
RobustExplain: Evaluating Robustness of LLM-Based Explanation Agents for Recommendation,10.1145/3774905.3795729,dup_openalex,already in OpenAlex 648
Evaluating LLM-based Agents for Multi-turn Conversations: A Survey,10.1145/3793671,dup_openalex,already in OpenAlex 648
A Risk Ontology for Evaluating AI-Powered Psychotherapy Virtual Agents,10.1145/3717511.3749286,exclude_conversational,conversational/health/chatbot agent
DEBP-PVA: Designing and Evaluating Behavioral Paradigms With Proactive Virtual Agents,10.1145/3742886.3758118,exclude_conversational,conversational/health/chatbot agent
Evaluating Perceived Realism of Micro-Movement Strategies in Artificial Social Agents,10.1145/3717511.3749304,exclude_gesture,gesture/embodied-HCI/SIA
"Exploration, Collaboration, and Applications in Multi-Agent Reinforcement Learning",10.1145/3712170.3712181,exclude_MARL,MARL/RL-theory/control
"""Shall We Dig Deeper?"": Designing and Evaluating Strategies for LLM Agents to Advance Knowledge Co-Construction in Asynchronous Online Discussions",10.1145/3772318.3790551,dup_openalex,already in OpenAlex 648
ImpReSS: Designing and Evaluating a Lightweight Implicit Recommender System in Conversational Support Agents,10.1145/3742413.3789151,candidate_review,manual review
Evaluating a Mechanism for Explaining BDI Agent Behaviour,10.5555/3545946.3598908,exclude_robotics,robotics/BDI/classic-agent
Evaluation of embodied conversational agents designed with ethical principles and personality for cybersecurity ethics training,10.1145/3570945.3607359,exclude_fair-division,fair-division/econ-theory
NuevAI: Streamlined Dataset Generator and Human Evaluator System for Development of Pedagogical Conversational Agents,10.1145/3750069.3750094,exclude_conversational,conversational/health/chatbot agent
Prompt-Gaming: A Pilot Study on LLM-Evaluating Agent in a Meaningful Energy Game,10.1145/3613905.3650774,dup_openalex,already in OpenAlex 648
"Imitation Learning Datasets: A Toolkit For Creating Datasets, Training Agents and Benchmarking",10.5555/3635637.3663292,dup_openalex,already in OpenAlex 648
Agent-Driven Automatic Software Improvement,10.1145/3661167.3661171,candidate_review,manual review
"Evaluating Text-based Conversational Agents for Mental Health: A Systematic Review of Metrics, Methods and Usage Contexts",10.1145/3786995.3787027,exclude_conversational,conversational/health/chatbot agent
EvalAgent: Towards Evaluating News Recommender Systems with LLM-based Agents,10.1145/3746252.3761127,candidate_agentic,LLM/agentic benchmark or eval
Evaluating the Robustness of Multimodal Agents Against Active Environmental Injection Attacks,10.1145/3746027.3755646,candidate_review,manual review
Designing and Evaluating In-Situ Assistive Features to Anticipate Text-Based Responses of Conversational Agents,10.1145/3750069.3750140,exclude_conversational,conversational/health/chatbot agent
On the Fair Allocation to Asymmetric Agents with Binary XOS Valuations,10.65109/bsdw5494,exclude_fair-division,fair-division/econ-theory
GENEA Workshop 2023: The 4th Workshop on Generation and Evaluation of Non-verbal Behaviour for Embodied Agents,10.1145/3577190.3616856,exclude_fair-division,fair-division/econ-theory
Using Agent-Based Simulations to Evaluate Bayesian Networks for Criminal Scenarios,10.1145/3594536.3595125,exclude_agent-based modeling,agent-based modeling/sim
A Framework for Evaluating AI Agents in Open-Ended Conversations via Scripted Simulation,10.1145/3711896.3737390,candidate_agentic,LLM/agentic benchmark or eval
IDAT: A Multi-Modal Dataset and Toolkit for Building and Evaluating Interactive Task-Solving Agents,10.1145/3726302.3730300,candidate_agentic,LLM/agentic benchmark or eval
SEAR: Schema-Based Evaluation and Routing for LLM Gateways,10.1145/3786335.3813131,exclude_fair-division,fair-division/econ-theory
CommunityBots: Creating and Evaluating A Multi-Agent Chatbot Platform for Public Input Elicitation,10.1145/3579469,exclude_conversational,conversational/health/chatbot agent
Relying on the Metrics of Evaluated Agents,10.1145/3696410.3714864,candidate_review,manual review
Robust Multi-Agent Bandits Over Undirected Graphs,10.1145/3606376.3593567,exclude_MARL,MARL/RL-theory/control
Scideator: Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation,10.1145/3786335.3813161,exclude_fair-division,fair-division/econ-theory
Resource Allocation to Strategic Agents under Cost Constraints,10.1145/3788882.3788885,exclude_fair-division,fair-division/econ-theory
Adaptive Learning Rates for Multi-Agent Reinforcement Learning,10.5555/3545946.3598615,exclude_MARL,MARL/RL-theory/control
Research on The Risk Factors and Evaluation Decision Method of The Grid Trading Agency,10.1145/3582935.3583006,exclude_fair-division,fair-division/econ-theory
Birds of a Feather Video-Flock Together: Design and Evaluation of an Agency-Based Parrot-to-Parrot Video-Calling System for Interspecies Ethical Enrichment.,10.1145/3544548.3581166,exclude_fair-division,fair-division/econ-theory
Online Multi-Agent Decentralized Byzantine-robust Gradient Estimation,10.1145/3595244.3595258,exclude_MARL,MARL/RL-theory/control
Evaluating Community Design through Simulating Social Interactions with Large Language Model-Based Agents,10.1145/3758871.3758931,exclude_agent-based modeling,agent-based modeling/sim
Malcolm: Multi-agent Learning for Cooperative Load Management at Rack Scale,10.1145/3606376.3593550,exclude_MARL,MARL/RL-theory/control
How Government Agencies Evaluate Cybersecurity Capacity Building Outcomes: A Case of Malawi,10.1145/3680127.3680177,candidate_review,manual review
Global Convergence of Localized Policy Iteration in Networked Multi-Agent Reinforcement Learning,10.1145/3606376.3593545,exclude_MARL,MARL/RL-theory/control
Synthesis and Evaluation of Long-term History-aware Medical Dialogue,10.65109/efxq8322,exclude_fair-division,fair-division/econ-theory
From Compositional Petri Net Modeling to Macro and Micro Simulation by Means of Stochastic Simulation and Agent-Based Models,10.1145/3617681,exclude_agent-based modeling,agent-based modeling/sim
Algorithmic Collusion at Test Time: A Meta-game Design and Evaluation,10.65109/svwg7670,exclude_fair-division,fair-division/econ-theory
"Shift, scale and restart smaller models to estimate larger ones: Agent based simulators in epidemiology",10.1145/3595244.3595264,exclude_agent-based modeling,agent-based modeling/sim
Leveraging User Simulation to Develop and Evaluate Conversational Information Access Agents,10.1145/3616855.3635730,candidate_review,manual review
Can LLMs be Surprised? Evaluation and Analysis of Surprise Expression of LLMs,10.1145/3765766.3765873,exclude_fair-division,fair-division/econ-theory
"One Robot, Many Minds: Factors Shaping Visitors' Evaluation of an Autonomous Museum Robot Guide",10.1145/3765766.3765777,exclude_fair-division,fair-division/econ-theory
How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,10.1145/3756681.3756984,candidate_agentic,LLM/agentic benchmark or eval
On the Reliability of User Feedback for Evaluating the Quality of Conversational Agents,10.1145/3583780.3615286,exclude_conversational,conversational/health/chatbot agent
A Methodology for Evaluating Multimodal Referring Expression Generation for Embodied Virtual Agents,10.1145/3610661.3616548,exclude_gesture,gesture/embodied-HCI/SIA
How Do People Evaluate Their Interactions with AI: A Qualitative Study of Emotionally Motivated AI Use and User Evaluation,10.1145/3765766.3765852,exclude_fair-division,fair-division/econ-theory
An Experimental Environment for Narrative Cue Evaluation in Virtual Reality,10.1145/3717511.3749292,exclude_fair-division,fair-division/econ-theory
Evaluation-Time Policy Switching for Offline Reinforcement Learning,10.5555/3709347.3743786,exclude_fair-division,fair-division/econ-theory
"Evaluation of a Sign Language Avatar on Comprehensibility, User Experience & Acceptability",10.1145/3742886.3756719,exclude_fair-division,fair-division/econ-theory
Towards Sign Language Motion Generation from Blurred Videos: System Development and Evaluation,10.1145/3742886.3756722,exclude_fair-division,fair-division/econ-theory
Agents of Autonomy: A Systematic Study of Robotics on Modern Hardware,10.1145/3673660.3655043,exclude_robotics,robotics/BDI/classic-agent
First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,10.1145/3678719.3685692,candidate_agentic,LLM/agentic benchmark or eval
Context Matters: Evaluating MCP-Based Context-Aware AI — A Case Study of Email Communications in Nonprofit Organizations,10.1145/3786167.3788426,candidate_agentic,LLM/agentic benchmark or eval
benchmarking multi-agent reinforcement learning,10.5555/3722577.3722794,exclude_MARL,MARL/RL-theory/control
Diagnosing Faults in Deep Reinforcement Learning based Systems: Settings and Benchmarks,10.65109/nsti8981,exclude_MARL,MARL/RL-theory/control
Empathy-Based communication Framework for Chatbots: A Mental Health Chatbot Application and Evaluation,10.1145/3623809.3623865,exclude_fair-division,fair-division/econ-theory
Designing Evaluation Metrics for Quality of Human-Robot Interaction in Guiding Human Behavior,10.1145/3623809.3623835,exclude_fair-division,fair-division/econ-theory
Rethinking Out-of-Distribution Detection for Reinforcement Learning: Advancing Methods for Evaluation and Detection,10.5555/3635637.3663004,exclude_fair-division,fair-division/econ-theory
Forward-PECVaR Algorithm: Exact Evaluation for CVaR SSPs,10.5555/3545946.3598935,exclude_fair-division,fair-division/econ-theory
S&F: Sources and Facts Reliability Evaluation Method,10.5555/3545946.3599075,exclude_fair-division,fair-division/econ-theory
Evaluation of Robustness of Off-Road Autonomous Driving Segmentation against Adversarial Attacks: A Dataset-Centric Study,10.5555/3635637.3663119,exclude_fair-division,fair-division/econ-theory
Sample and Communication Efficient Fully Decentralized MARL Policy Evaluation via a New Approach: Local TD Update,10.5555/3635637.3662932,exclude_fair-division,fair-division/econ-theory
Vibe Code Bench: Evaluating AI Models on End-to-End Web Application Development,10.1145/3786335.3813180,candidate_review,manual review
Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,10.1145/3786335.3813181,candidate_agentic,LLM/agentic benchmark or eval
Improvement and Evaluation of the Policy Legibility in Reinforcement Learning,10.5555/3545946.3599167,exclude_fair-division,fair-division/econ-theory
Learning in Teams: Peer Evaluation for Fair Assessment of Individual Contributions,10.5555/3545946.3599057,exclude_fair-division,fair-division/econ-theory
HOPE: Human-Centric Off-Policy Evaluation for E-Learning and Healthcare,10.5555/3545946.3598804,exclude_fair-division,fair-division/econ-theory
Evaluating Automatic Hand-Gesture Generation Using Multimodal Corpus Annotations,10.1145/3746268.3759430,exclude_gesture,gesture/embodied-HCI/SIA
Crowd Simulation Incorporating a Route Choice Model and Similarity Evaluation using Real Large-scale Data,10.5555/3545946.3599066,exclude_fair-division,fair-division/econ-theory
Evaluating nonverbal mimicry in embodied motivational agents,10.1145/3570945.3607322,exclude_gesture,gesture/embodied-HCI/SIA
Evaluating Intrinsic Geospatial Topological Reasoning in LLMs,10.1145/3764915.3770722,candidate_review,manual review
Benchmarking MARL on Long Horizon Sequential Multi-Objective Tasks,10.5555/3635637.3663133,exclude_MARL,MARL/RL-theory/control
