title,doi,year,venue,type,status,reason
Preclinical Evaluation of an Anti-EphA2 Minibody-Based ImmunoPET Agent as a Diagnostic Tool For Cancer,10.1007/s11307-025-02048-7,2025,Molecular Imaging and Biology,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Boron Containing Curcumin-Like Compound as an Acetylcholinesterase Inhibitor and Anticancer Agent: Synthesis, Biological Evaluation, and Computational Insights",10.1007/s12013-025-01885-1,2025,Cell Biochemistry and Biophysics,Article,exclude_chem_bio,"chemical/biological ""agent"""
T2F: a domain-agnostic multi-agent framework for unstructured text to factuality evaluation items generation,10.1007/s44163-025-00294-w,2025,Discover Artificial Intelligence,Article,candidate_review,no clear signal - manual review
"Eggshell-derived calcium oxide nanoparticles as promising anti-cancer agent: synthesis, characterization and in-vitro evaluation",10.1007/s10751-025-02310-y,2025,Interactions,Article,exclude_chem_bio,"chemical/biological ""agent"""
In silico evaluation of anticancer peptide as a novel therapeutic agent against AURKA for targeting oral carcinogenesis,10.1007/s00894-025-06521-6,2025,Journal of Molecular Modeling,Article,exclude_chem_bio,"chemical/biological ""agent"""
Preclinical Evaluation of Novel SGLT2-Targeted Near-Infrared Optical Imaging Agent for Early-Stage Pulmonary Adenocarcinoma,10.1007/s11307-025-02029-w,2025,Molecular Imaging and Biology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Potential Play Evaluation with Learning-Based Agent Modeling,10.1007/978-981-96-1445-5_4,2025,Machine Learning in Sports,Chapter,candidate_review,no clear signal - manual review
Biological and computer-aided evaluation of 3-methoxy-13α-estrone-16α-diphenylphosphine oxide as a new antiestrogenic agent,10.1038/s41598-025-27905-x,2025,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
On Risk Evaluation and Control of Distributed Multi-agent Systems,10.1007/s10957-024-02464-9,2024,Journal of Optimization Theory and Applications,Article,exclude_nonllm,non-LLM agent system/control/econ
ML-AMP1 as a Potential Antifungal Agent: Activity and Therapeutic Evaluation in a Guinea Pig Model of Dermatophytosis,10.1007/s10989-025-10754-7,2025,International Journal of Peptide Research and Therapeutics,Article,exclude_chem_bio,"chemical/biological ""agent"""
Safety rapid evaluation method and system of pump truck upper structure based on combination weighting and agent model,10.1186/s44147-025-00713-w,2025,Journal of Engineering and Applied Science,Article,candidate_review,no clear signal - manual review
Evaluation of the Therapeutic Effectiveness of a Composite Agent in the Treatment of Radiation–Thermal Damage,10.1134/s1062359024701760,2024,Biology Bulletin,Article,exclude_chem_bio,"chemical/biological ""agent"""
CADD based designing and biological evaluation of novel triazole based thiazolidinedione coumarin hybrids as antidiabetic agent,10.1038/s41598-025-88944-y,2025,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Design, synthesis, and biological evaluation of Osimertinib–Cy7 (OSA-Cy7) conjugate as potential theranostic agent targeting activating EGFR mutations",10.1186/s12896-025-01025-w,2025,BMC Biotechnology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Development and Characteristic Evaluation of Chemical Adhesive Plugging Agent,10.1007/978-981-96-4922-8_3,2025,Proceedings of the International Field Exploration and Development Conference 2024,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Toward Automating Agent-Based Model Generation: A Benchmark for&#xa0;Model Extraction Using Question-Answering Techniques,10.1007/978-3-031-91782-0_17,2025,Advances in Social Simulation,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of <i>Bacillus amyloliquefaciens</i> Strain TV-17C as a&#xa0;Potential Biocontrol Agent Against Postharvest Blue Mold in Oranges,10.1007/s10341-025-01646-7,2025,Applied Fruit Science,Article,exclude_chem_bio,"chemical/biological ""agent"""
Selection criteria for foaming agent and mechanical performance evaluation of conditioned soil for EPB shield tunneling in water-rich sand strata,10.1038/s41598-026-38868-y,2026,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Agent-Based Modelling Tools for&#xa0;CPS - An Experimental Evaluation,10.1007/978-3-031-73058-0_20,2025,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Digital Twins: The PAAMS Collection",Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Multi-agent evaluation for energy management by practically scaling <i>α</i>-rank,10.1631/fitee.2300438,2024,Frontiers of Information Technology & Electronic Engineering,Article,exclude_nonllm,non-LLM agent system/control/econ
"Rational Design of Chlorinated Hydroxyxanthone as Anticancer Agent: Molecular Docking, Molecular Dynamic Simulation, ADMET, One-Pot Synthesis, and In Vitro Evaluation",10.1007/s12013-025-01796-1,2025,Cell Biochemistry and Biophysics,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Vaccination Strategies in an Agent-Based SEIRV Epidemic Model,10.1007/978-3-032-24724-7_33,2026,Advances in Digital Health and Medical Bioengineering II,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
"Design, synthesis, deep learning-guided prediction, and biological evaluation of novel pyridine-thiophene-based imine-benzalacetophenone hybrids as promising antimicrobial agent",10.1007/s10822-025-00687-0,2025,Journal of Computer-Aided Molecular Design,Article,exclude_chem_bio,"chemical/biological ""agent"""
Design and evaluation of vaccines for the control of the etiological agent of East Coast fever,10.1186/s13071-024-06517-w,2024,Parasites & Vectors,Article,exclude_chem_bio,"chemical/biological ""agent"""
SecKQL-Agent: A Real-World APT29 Events Benchmark and&#xa0;Framework for&#xa0;Reliable Text-to-KQL in&#xa0;Security Analytics,10.1007/978-981-92-0378-9_17,2026,Database Systems for Advanced Applications,Conference paper,candidate_review,no clear signal - manual review
"Preliminary study of a transarterial radioembolization agent using Samarium-153 microspheres: synthesis, characterization, and in vivo evaluation in normal mice",10.1007/s10967-025-10128-9,2025,Journal of Radioanalytical and Nuclear Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Preparation of oxidized Starch/PVA/ZnO Nanobiocomposite hydrogel as drug delivery agent: SERS-Driven vancomycin In-vitro release kinetics and biological potential evaluation,10.1007/s10965-026-04920-8,2026,Journal of Polymer Research,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of the effectiveness and adverse events of oxycodone as a pain-relieving agent in 103 dogs with tumors: a retrospective study,10.1186/s12917-025-04987-3,2025,BMC Veterinary Research,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of an Antifungal Agent Against <i>Nakaseomyces Glabratus</i> in the in Vivo Model <i>Galleria Mellonella</i>,10.1007/s00284-025-04715-y,2026,Current Microbiology,Article,exclude_chem_bio,"chemical/biological ""agent"""
A Task Complexity Evaluation Framework for&#xa0;Mobile AI Agent Applications,10.1007/978-3-031-94171-9_43,2025,HCI International 2025 Posters,Conference paper,candidate_agentic,agentic/LLM-agent signal
"Preparation, Evaluation and Field Application of Thermally Induced Crosslinked Polymer Gel Leakage Plugging Agent",10.1007/s10924-024-03334-1,2024,Journal of Polymers and the Environment,Article,exclude_chem_bio,"chemical/biological ""agent"""
Synthesis and biological evaluation of echinomycin analogues as potential colon cancer agent,10.1038/s41598-024-58196-3,2024,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Laboratory evaluation <i>of Beauveria bassiana</i> strain ATCC74040 as a potential biocontrol agent of <i>Aculops lycopersici</i>,10.1038/s41598-025-24062-z,2025,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
"LLM-Based Multi-agent Systems: Frameworks, Evaluation, Open Challenges, and Research Frontiers",10.1007/978-3-032-15632-7_9,2026,Computational Intelligence,Conference paper,candidate_agentic,agentic/LLM-agent signal
"Design, synthesis, and biological evaluation of ACF-03: a novel anti-fibrotic and antioxidant agent targeting ROS-TGF-β1-HIF-1α axis",10.1186/s13765-025-01007-8,2025,Applied Biological Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Radiolabeling and evaluation of <sup>64+67</sup>Cu-2,2’-(1,2,4-Oxadiazole-3,5-diyl)di aniline as a theranostic agent for solid tumors",10.1038/s41598-025-21804-x,2025,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Multi-agent LLM with&#xa0;the&#xa0;Chain-of-Thought for&#xa0;Design Creativity Evaluation,10.1007/978-3-032-12385-5_21,2026,HCI International 2025 – Late Breaking Papers,Conference paper,dup_openalex,already in OpenAlex 648
Development and performance evaluation of foaming agent for heavy oil development and study on oil displacement mechanism in heterogeneous micromodel,10.1007/s13202-025-01958-0,2025,Journal of Petroleum Exploration and Production Technology,Article,exclude_chem_bio,"chemical/biological ""agent"""
An In Vitro Evaluation of <i>Trichoderma harzianum</i> as a Biocontrol Agent for Managing Fungal Diseases in <i>Rosa grandiflora</i>,10.1134/s1062359025611929,2026,Biology Bulletin,Article,exclude_chem_bio,"chemical/biological ""agent"""
In vitro and in vivo evaluation of thapsigargin as an antiviral agent against transmissible gastroenteritis virus,10.1186/s13567-024-01359-x,2024,Veterinary Research,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Design synthesis and evaluation of a novel 1,3,4-thiadiazole derivative as a potent anticancer and antibacterial agent supported by electronic property analysis and simulation studies",10.1038/s41598-026-53341-6,2026,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Pharmacokinetic and Pharmacodynamic (PK/PD) of Novel Fluorenylmethoxycarbonyl- Phenylalanine Antimicrobial Agent,10.1007/s11095-024-03690-6,2024,Pharmaceutical Research,Article,exclude_chem_bio,"chemical/biological ""agent"""
Preclinical evaluation of [<sup>13x</sup>La]La-FAP-2286 as a novel theranostic agent for tumors expressing fibroblast activation protein,10.1038/s41598-025-91716-3,2025,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Performance evaluation of distributed multi-agent IoT monitoring based on intelligent reflecting surface,10.1186/s13634-024-01132-4,2024,EURASIP Journal on Advances in Signal Processing,Article,exclude_nonllm,non-LLM agent system/control/econ
Biological Efficacy Evaluation of Lab Synthesized MgGA Bio-MOF as an Antioxidant Agent and Drug Vehicle,10.1007/s10876-024-02650-9,2024,Journal of Cluster Science,Article,exclude_chem_bio,"chemical/biological ""agent"""
"[<sup>177</sup>Lu]Lu-EDTMP —a bone pain palliating agent: pharmacokinetics, biodistribution, safety profile and clinical evaluation in osseous metastatic patients",10.1007/s00259-025-07218-x,2025,European Journal of Nuclear Medicine and Molecular Imaging,Article,candidate_review,no clear signal - manual review
"Synthesis, biological evaluation, and molecular docking of novel 1,3,4-substituted-thiadiazole derivatives as potential anticancer agent",10.1186/s13065-024-01196-1,2024,BMC Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of antibacterial and antibiofilm activities of green-synthesized iron oxide nanoparticles using <i>Cyperus rotundus</i> extract as a reducing and stabilizing agent,10.1007/s10856-025-06914-2,2025,Journal of Materials Science: Materials in Medicine,Article,exclude_chem_bio,"chemical/biological ""agent"""
Experimental of Pressure-Bearing Effect Evaluation of Temporary Plugging Agent Combination,10.1007/978-981-96-5158-0_8,2025,Proceedings of the International Field Exploration and Development Conference 2024,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Health Management Evaluation Algorithm for College Students Based on Distributed Multi-agent System,10.1007/978-3-032-18634-8_4,2026,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Empirical Evaluation of&#xa0;Motion Primitives in&#xa0;Multi-Agent Path Finding with&#xa0;Kinodynamic Constraints,10.1007/978-3-032-13612-1_41,2026,"Proceedings of the Ninth International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’25), Volume 2",Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Durability Evaluation of Cement Paste with Ginger by Adding Defoaming Agent,10.1007/978-981-96-6111-4_1,2025,"Proceedings of 7th International Conference on Civil Engineering and Architecture, Volume 2",Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
CommonHealth: Multi-agent Evaluation of&#xa0;Blockchain-Based Patient-Centred Health Networks,10.1007/978-3-031-93930-3_24,2025,Multi-Agent Systems,Conference paper,candidate_review,no clear signal - manual review
"Synthesis, biological evaluation, and molecular docking of a bromo-hydrazide derivative as a bacterial targeting agent and its radiolabeling with technetium-99m for diagnostic applications",10.1007/s10967-025-10219-7,2025,Journal of Radioanalytical and Nuclear Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Preparation and biological evaluation of <sup>99m</sup>Tc-labeled polyethylene glycol-modified bis(4-methyl-2-nitroimidazole) PnAO as a hypoxia imaging agent,10.1007/s10967-025-10080-8,2025,Journal of Radioanalytical and Nuclear Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Preparation and evaluation of [<sup>64</sup>Cu]Cu-labeled bisphosphonate amide of DOTA using reactor-produced <sup>64</sup>Cu as an affordable skeletal PET imaging agent,10.1038/s41598-026-43985-9,2026,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of hafnium oxide nanoparticles imaging characteristics as a contrast agent in X-ray computed tomography,10.1007/s12194-024-00797-8,2024,Radiological Physics and Technology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of <i>Aquamicrobium lusatiense</i> NLF 2–7 as a Biocontrol Agent in Manure Composting: Effects on Odorous Compounds and Microbial Community Under Mesophilic Conditions,10.1007/s00248-025-02613-1,2025,Microbial Ecology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Agent-based manufacturing — review and expert evaluation,10.1007/s00170-023-11517-8,2023,The International Journal of Advanced Manufacturing Technology,Article,exclude_nonllm,non-LLM agent system/control/econ
Predicate-Based Explanation of&#xa0;a&#xa0;Reinforcement Learning Agent via&#xa0;Action Importance Evaluation,10.1007/978-3-031-74630-7_2,2025,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Evaluation of the Antimicrobial Activity of Triple Enzyme-Embedded Organic–Inorganic Hybrid Nanoflowers (hNFs) in Comparison with Powerful Antimicrobial Agent Chitosan,10.1007/s00284-024-03884-6,2024,Current Microbiology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of phenylurea-based antimicrobial agent in natural rubber latex dipped film as an application for medical gloves,10.1007/s42464-024-00261-7,2024,Journal of Rubber Research,Article,exclude_chem_bio,"chemical/biological ""agent"""
Multi-agent System for Multi-modal Educational Content Generation and Evaluation: A Case Study,10.1007/978-981-95-7144-4_34,2026,Behavioural and Social Computing,Conference paper,candidate_agentic,agentic/LLM-agent signal
A Virtual Testbed for&#xa0;the&#xa0;Multidisciplinary Evaluation of&#xa0;Human-Agent Teaming Dynamics,10.1007/978-3-031-93819-1_13,2025,Human Interface and the Management of Information,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
"Characterization and Safety Evaluation of Surfactin from <i>Bacillus methylotrophicus</i> Effective against <i>Streptomyces scabies</i>, the Causative Agent of Potato Common Scab",10.1134/s0003683824607480,2025,Applied Biochemistry and Microbiology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Actions Speak Louder Than Words: Evidence-Based Trust Level Evaluation in&#xa0;Multi-agent Systems,10.1007/978-981-95-3543-9_14,2026,Information and Communications Security,Conference paper,candidate_agentic,agentic/LLM-agent signal
Evaluation of a Biologically-Inspired Multi-Agent System Consensus Algorithm to Develop Application Insights,10.1007/978-3-032-12309-1_9,2026,Augmented Intelligence in Systems Engineering and Engineered Systems,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Synergistic Effect of Bimetallic Nanoparticles and Evaluation as an Antibacterial Agent Against <i>Streptococcus mutans</i> and<i> Klebsiella pneumonia</i>,10.1007/s11468-025-02811-0,2025,Plasmonics,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of the dual role of chlorine dioxide as an antimicrobial agent and defense elicitor against <i>Botrytis cinerea</i> in grapevines,10.1007/s13580-024-00621-7,2024,"Horticulture, Environment, and Biotechnology",Article,exclude_chem_bio,"chemical/biological ""agent"""
Performance Evaluation of Human-Machine Interaction for Safely Navigating Agent in Unity Environment,10.1007/978-3-031-86623-4_28,2025,Artificial Intelligence and Applications,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
The potential of natural deep eutectic solvent in polyphenol extraction of <i>Timonius flavescens</i> (Jacq) Baker as an anti-breast cancer agent and its toxicity evaluation,10.1007/s13596-025-00838-6,2025,Advances in Traditional Medicine,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Evaluation of the potential of predatory mirid bug, <i>Dortus primarius</i> Distant as biocontrol agent of <i>Tuta absoluta</i> Meyrick",10.1007/s41348-024-00997-9,2024,Journal of Plant Diseases and Protection,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Design, Synthesis and Biological Evaluation of 7-Azaindole Analogues as Novel Antiproliferative Agent and Tyrosine Protein Kinase SRC Inhibitors",10.1007/s11094-024-03120-2,2024,Pharmaceutical Chemistry Journal,Article,exclude_chem_bio,"chemical/biological ""agent"""
Innovative Reinforcement Learning Agent for HVAC Control in Residential Buildings: A BOPTEST Evaluation,10.1007/978-3-031-90921-4_37,2025,"Intersection of Artificial Intelligence, Data Science, and Cutting-Edge Technologies: From Concepts to Applications in Smart Environment",Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Identification and fungicides sensitivity evaluation of the causal agent of cobweb disease on <i>Lyophyllum decastes</i> in China,10.1186/s12866-024-03326-0,2024,BMC Microbiology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of&#xa0;Infection Prevention Measures in&#xa0;Elementary Schools Using an&#xa0;Agent-Based Model,10.1007/978-3-031-91782-0_18,2025,Advances in Social Simulation,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Synthesis and evaluation of phosphoric ester pyrogallic acid hexaglycidyl ether as a green corrosion protective agent in the gas and oil industries,10.1007/s10853-024-09813-z,2024,Journal of Materials Science,Article,exclude_chem_bio,"chemical/biological ""agent"""
"A Novel Bisimine (4,6-Triazolyl, 2-Phenylamino,1,3,5-Triazine) Serving as Potential Anticancer Agent and Chemosensor for the Sensitive Colorimetric Detection of Cu(II) Ion: Design, Synthesis, and Biological Evaluation of Therapeutic Efficiency",10.1007/s42250-025-01378-x,2025,Chemistry Africa,Article,exclude_chem_bio,"chemical/biological ""agent"""
Selection of a biocontrol agent based on a comparative spore production evaluation,10.1007/s43393-023-00198-9,2023,Systems Microbiology and Biomanufacturing,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of the predatory soil mite <i>Blattisocius mali</i> (Acari: Blattisociidae) as a biocontrol agent of the acarid mite <i>Tyrophagus putrescentiae</i> (Acari: Acaridae) infesting stored flower bulbs,10.1007/s10526-026-10395-9,2026,BioControl,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Evaluation of ABT-751, a novel anti-mitotic agent able to overcome multi-drug resistance, in melanoma cells",10.1007/s00280-023-04624-6,2024,Cancer Chemotherapy and Pharmacology,Article,exclude_chem_bio,"chemical/biological ""agent"""
"New solvated Mo(VI) complexes of isatin based asymmetric bisthiocarbohydrazones as potent bioactive agent: synthesis, DFT-molecular docking studies, biological activity evaluation and crystal structures",10.1007/s10534-024-00633-x,2024,BioMetals,Article,exclude_chem_bio,"chemical/biological ""agent"""
Multi-agent System for Intelligent Heating Control: Implementation and Evaluation Using Home Assistant and Neural Networks,10.1007/978-3-032-20746-3_10,2026,Focus on Artificial Intelligence in Intelligent Systems Design,Conference paper,candidate_agentic,agentic/LLM-agent signal
A prospective randomized clinical trial and an in vitro evaluation of the microtensile bond strength of a chlorhexidine-containing dentin bonding agent and a bulk fill composite material in primary teeth,10.1186/s12903-025-05960-0,2025,BMC Oral Health,Article,exclude_chem_bio,"chemical/biological ""agent"""
Using Generated Rubrics to&#xa0;Provide a&#xa0;Window Into Item Evaluation with&#xa0;Multi-agent LLMs,10.1007/978-3-031-98420-4_15,2025,Artificial Intelligence in Education,Conference paper,candidate_agentic,agentic/LLM-agent signal
Preparation and Evaluation of Hydrophobically Associating Polyacrylamide Liquid Suspension Agent for Oil Well Cement,10.1007/978-981-96-4922-8_68,2025,Proceedings of the International Field Exploration and Development Conference 2024,Conference paper,candidate_review,no clear signal - manual review
Evaluation of Azadirachta Indica Extract as a Reducing and Stabilizing Agent for ZnO Nanoparticles,10.1007/978-3-031-93444-5_121,2025,The Green Revolution: Building Sustainable Solutions,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Micro-Level Circularity Indicators Using Agent-Based Modelling,10.1007/978-981-99-3897-1_14,2024,"EcoDesign for Sustainable Products, Services and Social Systems II",Chapter,exclude_nonllm,non-LLM agent system/control/econ
Evaluation of Dual Effect of Sodium Borohydride (NaBH<sub>4</sub>) as a Reducing and Crosslinking Agent for Development of Novel Silver Nanoparticles (AgNPs) Loaded Chitosan-Poly (Vinyl Alcohol) (CS-PVA) Hydrogels for Wound Healing Activity,10.1007/s12247-026-10500-6,2026,Journal of Pharmaceutical Innovation,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of&#xa0;an&#xa0;LLM-Powered Student Agent for&#xa0;Teacher Training,10.1007/978-3-031-72312-4_7,2024,Technology Enhanced Learning for Inclusive and Equitable Quality Education,Conference paper,dup_openalex,already in OpenAlex 648
Evaluation of different plant aqueous extracts for effective management of <i>Thielaviopsis paradoxa</i> causal agent of the black scorch disease in date palm fronds in Morocco,10.1007/s42535-024-01078-w,2024,Vegetos,Article,exclude_chem_bio,"chemical/biological ""agent"""
A Comprehensive Framework for&#xa0;Turn-Taking Evaluation in&#xa0;Multi-agent Systems: Rotational Periodicity for&#xa0;Scalable Coordination Analysis,10.1007/978-3-032-03711-4_16,2026,Artificial Intelligence and Soft Computing,Conference paper,candidate_agentic,agentic/LLM-agent signal
The ENGAGE study: evaluation of a conversational virtual agent that provides tailored pre-test genetic education to cancer patients,10.1007/s11764-023-01495-x,2023,Journal of Cancer Survivorship,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Design, Synthesis and Pharmacological Evaluation of Some 2-Methylsulfanyl-1,4-Dihydropyrimidines Derivatives as an Analgesic Agent",10.1134/s1068162023040076,2023,Russian Journal of Bioorganic Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Surfactant/Foam Processes in Shallow Subsurface Remediation: Evaluation of Foams as a Blocking Agent,10.1007/s11242-023-01980-y,2023,Transport in Porous Media,Article,exclude_chem_bio,"chemical/biological ""agent"""
JASPER: An Agent-Based Simulation Tool for&#xa0;Test and&#xa0;Evaluation of&#xa0;Jammer-Angle Allocation Algorithms,10.1007/978-3-031-87345-4_25,2025,Simulation Tools and Techniques,Conference paper,exclude_offconstruct,agent-based modeling/econ
In Silico and In Vivo Evaluation of Synthesized Ursolic Acid Derivative as Anti-hyperlipidemic Agent,10.1007/978-981-96-9342-9_4,2025,"Current Progress in Biochemical, Biomedical, and Physical Sciences",Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of the hydroalcoholic extract of <i>Clarisia racemosa</i> as an antiparasitic agent: an in vitro approach,10.1007/s13205-023-03799-2,2023,3 Biotech,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Synthesis of trimethoxy-benzylidene-hydrazine-carboxamide compounds: antioxidant, antimicrobial and antiparasitic agent, evaluation of the interaction with BSA and ADMET parameters",10.1007/s11696-023-03214-3,2023,Chemical Papers,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of the Extract of <i>Pseudopithomyces chartarum</i> to be used as Biocontrol Agent Against <i>Phytophthora cinnamomi</i> in <i>Lupinus luteus</i>,10.1007/s42729-024-01969-6,2024,Journal of Soil Science and Plant Nutrition,Article,exclude_chem_bio,"chemical/biological ""agent"""
