oa_id,title,year,type,venue,cited_by_count,screen_pass,decision,exclusion_code,confidence,machine_or_human,has_agent,has_eval,introduces,rationale
W4402670146,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,2024,article,,42,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7119224602,A MODULAR BENCHMARKING FRAMEWORK FOR EVALUATING LLM-BASED AGENT APPLICATIONS,2026,article,INTERNATIONAL JOURNAL OF RESEARCH IN COMPUTER APPLICATIONS AND INFORMATION TECHNOLOGY,29,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4404782219,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,2024,article,,28,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4402684061,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,2024,article,,27,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4408167800,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities",2025,article,Sensors,40,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4413801638,MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents,2025,article,NEJM AI,26,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4413886873,CFA-Bench: Cybersecurity Forensic Llm Agent Benchmark and Testing,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4402671956,Benchmarking Data Science Agents,2024,article,,12,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4391591592,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,2024,preprint,arXiv (Cornell University),14,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4411120574,Towards Reliable Agents: Benchmarking Customized LLM-Based Retrieval-Augmented Generation Frameworks with Deployment Validation,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4402671905,Mobile-Bench: An Evaluation Benchmark for LLM-based Mobile Agents,2024,article,,11,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4385825419,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,2023,preprint,arXiv (Cornell University),9,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415796190,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,2024,article,,7,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4415797693,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,2024,article,,9,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4412889702,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,2025,article,,9,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4403564213,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024,preprint,arXiv (Cornell University),5,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4403884175,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,2024,preprint,arXiv (Cornell University),6,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404782852,DA-Code: Agent Data Science Code Generation Benchmark for Large Language Models,2024,article,,9,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4404481306,"Benchmarking Large Language Models for Multi-agent Systems: A Comparative Analysis of AutoGen, CrewAI, and TaskWeaver",2024,book-chapter,Lecture notes in computer science,10,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4402671485,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,2024,article,,7,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4404781154,BLADE: Benchmarking Language Model Agents for Data-Driven Science,2024,article,,6,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4402856941,POGEMA: A Benchmark Platform for Cooperative Multi-Agent Pathfinding,2024,preprint,arXiv (Cornell University),5,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4405627213,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,2024,preprint,arXiv (Cornell University),5,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415800716,WFCRL: A Multi-Agent Reinforcement Learning Benchmark for Wind Farm Control,2024,article,,5,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4389363807,BenchMARL: Benchmarking Multi-Agent Reinforcement Learning,2023,preprint,arXiv (Cornell University),3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4402683822,CToolEval: A Chinese Benchmark for LLM-Powered Agent Evaluation in Real-World API Interactions,2024,article,,6,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4403943319,Seal-Tools: Self-instruct Tool Learning Dataset for Agent Tuning and Detailed Benchmark,2024,book-chapter,Lecture notes in computer science,6,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4380714553,A Versatile Multi-Agent Reinforcement Learning Benchmark for Inventory Management,2023,preprint,arXiv (Cornell University),4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4407806895,MLGym: A New Framework and Benchmark for Advancing AI Research Agents,2025,preprint,ArXiv.org,4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4403364962,Benchmarking Agentic Workflow Generation,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4399836817,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,2024,preprint,arXiv (Cornell University),5,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415427913,From Grounding to Planning: Benchmarking Bottlenecks in Web Agents,2025,book-chapter,Frontiers in artificial intelligence and applications,3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7124289417,TaxAI: A Dynamic Economic Simulator and Benchmark for Multi-agent Reinforcement Learning,2024,article,,4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4406841370,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,2025,preprint,ArXiv.org,4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404792846,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,2024,article,,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4412886800,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,2025,article,,4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4413402046,EH-Benchmark: Ophthalmic hallucination benchmark and agent-driven top-down traceable reasoning workflow,2025,article,Information Fusion,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4391899415,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,2024,preprint,arXiv (Cornell University),5,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4413145608,ComfyBench: Benchmarking LLM-based Agents in ComfyUI for Autonomously Designing Collaborative AI Systems,2025,article,,5,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415796852,GTA: A Benchmark for General Tool Agents,2024,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal (title-only; abstract missing -> needs_human_verification)
W4416036279,CityEQA: A Hierarchical LLM Agent on Embodied Question Answering Benchmark in City Space,2025,article,,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4404545083,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,2024,book-chapter,Lecture notes in computer science,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4415795995,RedCode: Risky Code Execution and Generation Benchmark for Code Agents,2024,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W7133246398,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,2023,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4399837154,WebCanvas: Benchmarking Web Agents in Online Environments,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4410440509,RedTeamAI: A Benchmark for Assessing Autonomous Cybersecurity Agents,2025,preprint,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4403888240,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412888327,MMInA: Benchmarking Multihop Multimodal Internet Agents,2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W7133240501,SpokenWOZ: A Large-Scale Speech-Text Benchmark for Spoken Task-Oriented Dialogue Agents,2023,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4401042401,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,2024,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415539729,UAV-ON: A Benchmark for Open-World Object Goal Navigation with Aerial Agents,2025,article,,3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal (title-only; abstract missing -> needs_human_verification)
W4406866661,HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agent,2025,article,ACM Transactions on Software Engineering and Methodology,3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404649840,BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7131400538,Benchmark Test-Time Scaling of General LLM Agents,2026,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4382319487,Extension of constraint-procedural logic-generated environments for deep Q-learning agent training and benchmarking,2023,article,Journal of Logic and Computation,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7130481397,Benchmarking large language model-based agent systems for clinical decision tasks,2026,article,npj Digital Medicine,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4413065709,Toward the Autonomous AI Doctor: Quantitative Benchmarking of an Autonomous Agentic AI Versus Board-Certified Clinicians in a Real World Setting,2025,preprint,medRxiv,6,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415333036,OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents,2025,preprint,ArXiv.org,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4414991266,Benchmarking LLM-based agents for single-cell omics analysis,2026,preprint,Genome biology,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415697200,GeoBenchX: Benchmarking LLMs in Agent Solving Multistep Geospatial Tasks,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4405562840,SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4403578753,JAILJUDGE: A Comprehensive Jailbreak Judge Benchmark with Multi-Agent Enhanced Explanation Evaluation Framework,2024,preprint,arXiv (Cornell University),3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7124263640,An Extended Benchmarking of Multi-Agent Reinforcement Learning Algorithms in Complex Fully Cooperative Tasks,2025,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4387389108,SmartPlay: A Benchmark for LLMs as Intelligent Agents,2023,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4411119485,TurkingBench: A Challenge Benchmark for Web Agents,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415286464,MedAgentsBench: Benchmarking Thinking Models and Agent Frameworks for Complex Medical Reasoning,2025,preprint,ArXiv.org,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4409724980,Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4403569908,EmbodiedCity: A Benchmark Platform for Embodied Agent in Real-world City Environment,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4392011697,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4403564265,Catastrophic Cyber Capabilities Benchmark (3CB): Robustly Evaluating LLM Agent Cyber Offense Capabilities,2024,preprint,arXiv (Cornell University),3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7117833627,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents,2025,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412877122,DCA-Bench: A Benchmark for Dataset Curation Agents,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4401017924,Proposal for a Flexible Benchmark for Agent Based Models,2024,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4398836283,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4399795293,CoSQA+: Pioneering the Multi-Choice Code Search Benchmark with Test-Driven Agents,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4417300641,MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks,2025,preprint,ArXiv.org,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4413147008,Sketchtopia: A Dataset and Foundational Agents for Benchmarking Asynchronous Multimodal Communication with Iconic Feedback,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4388551615,MARL$$_{4}DRP$$: Benchmarking Cooperative Multi-agent Reinforcement Learning Algorithms for Drone Routing Problems,2023,book-chapter,Lecture notes in computer science,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4412887847,X-WebAgentBench: A Multilingual Interactive Web Benchmark for Evaluating Global Agentic System,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416195096,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7124265668,EnEnv 1.0: Energy Grid Environment for Multi-Agent Reinforcement Learning Benchmarking,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4417089504,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412886821,AndroidLab: Training and Systematic Benchmarking of Android Autonomous Agents,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4396653533,WorkBench: a Benchmark Dataset for Agents in a Realistic Workplace Setting,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415069437,DeepResearch Bench: A Comprehensive Benchmark for Deep Research Agents,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404354192,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,2024,preprint,arXiv (Cornell University),2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4417161986,"Beyond Benchmarks: Dynamic, Automatic And Systematic Red-Teaming Agents For Trustworthy Medical Language Models",2025,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7147004655,The Theoretical Production Benchmark v2.0: Evaluating Sustained Conceptual Coherence in Multi-Agent LLM Systems,2026,article,Zenodo (CERN European Organization for Nuclear Research),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4408874506,AMaze: an intuitive benchmark generator for fast prototyping of generalizable agents,2025,article,Frontiers in Artificial Intelligence,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412203693,Benchmark of a biophysical model for the radiobiology of RNT with 125I-labelled agents,2025,article,The European Physical Journal Special Topics,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4414854662,Personalized Safety in LLMs: A Benchmark and A Planning-Based Agent Approach,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4414757718,FutureX: An Advanced Live Benchmark for LLM Agents in Future Prediction,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4400945821,Quantifying Bias in Agentic Large Language Models: A Benchmarking Approach,2024,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4413358490,Simurgh: Multi-Agent Adversarial Benchmarking for Proactive Microservice Observability,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4416195122,FinAgentBench: A Benchmark Dataset for Agentic Retrieval in Financial Question Answering,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4401201041,MMAU: A Holistic Benchmark of Agent Capabilities Across Diverse Domains,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416540657,REAL: Benchmarking Autonomous Agents on Deterministic Simulations of Real Websites,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416036629,TP-RAG: Benchmarking Retrieval-Augmented Large Language Model Agents for Spatiotemporal-Aware Travel Planning,2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W7130465524,Agentic Data Analysis for Intelligent Manufacturing: Benchmark-Driven Evaluation of Agentic vs. Direct LLM Approaches,2026,article,Procedia CIRP,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4402683810,Towards Objectively Benchmarking Social Intelligence of Language Agents at the Action Level,2024,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4404088748,IntersectionZoo: Eco-driving for Benchmarking Multi-Agent Contextual Reinforcement Learning,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7128358391,MemGUI-Bench: Benchmarking Memory of Mobile GUI Agents in Dynamic Environments,2026,preprint,Open MIND,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7130648243,AutoONBench: a benchmark for large language model agents in autonomous optical networks,2026,article,Journal of Optical Communications and Networking,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4392427906,"Imitation Learning Datasets: A Toolkit For Creating Datasets, Training Agents and Benchmarking",2024,preprint,arXiv (Cornell University),1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4400343274,BioKGBench: A Knowledge Graph Checking Benchmark of AI Agent for Biomedical Science,2024,preprint,arXiv (Cornell University),1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4400267107,ShortcutsBench: A Large-Scale Real-world Benchmark for API-based Agents,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4411119440,AgentSense: Benchmarking Social Intelligence of Language Agents through Interactive Scenarios,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4414930036,FinGAIA: A Chinese Benchmark for AI Agents in Real-World Financial Domain,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4400786943,MAS-Bench: a benchmarking for parameter calibration of multi-agent crowd simulation,2024,article,Journal of Computational Social Science,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4398156921,Simulation-Based Benchmarking of Reinforcement Learning Agents for Personalized Retail Promotions,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4414448307,MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,2025,preprint,ArXiv.org,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7140954107,Code Review Agent Benchmark,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4415797759,ZSC-Eval: An Evaluation Toolkit and Benchmark for Multi-agent Zero-shot Coordination,2024,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4417134740,"MCPWorld: A Unified Benchmarking Testbed for API, GUI, and Hybrid Computer Use Agents",2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412887745,ProjectEval: A Benchmark for Programming Agents Automated Evaluation on Project-Level Code Generation,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4411119411,CSR-Bench: Benchmarking LLM Agents in Deployment of Computer Science Research Repositories,2025,article,,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7127718823,Multilingual Text-to-SQL: Benchmarking the Limits of Language Models with Collaborative Language Agents,2026,book-chapter,Lecture notes in computer science,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W7128814741,AgentLeak: A Full-Stack Benchmark for Privacy Leakage in Multi-Agent LLM Systems,2026,preprint,Open MIND,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4405792484,GUI Testing Arena: A Unified Benchmark for Advancing Autonomous GUI Testing Agent,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416237171,FHIR-AgentBench: Benchmarking LLM Agents for Realistic Interoperable EHR Question Answering,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4402253773,Benchmark for multi-agent pickup and delivery problem in a robotic mobile fulfillment system,2024,article,Flexible Services and Manufacturing Journal,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W7131297773,SusBench: An Online Benchmark for Evaluating Dark Pattern Susceptibility of Computer-Use Agents,2026,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7138907424,From Benchmarks to Business Impact: Deploying IBM Generalist Agent in Enterprise Production,2026,article,Proceedings of the AAAI Conference on Artificial Intelligence,1,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7131320235,Beyond single-channel agentic benchmarking,2026,article,arXiv (Cornell University),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7139144430,CUBE: A Standard for Unifying Agent Benchmarks,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7161204334,ABRA: Agent Benchmark for Radiology Applications,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7161452227,Herculean: An Agentic Benchmark for Financial Intelligence,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4416035065,ResearchArena: Benchmarking Large Language Models’ Ability to Collect and Organize Information as Research Agents,2025,article,,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4389469779,BEDD: The MineRL BASALT Evaluation and Demonstrations Dataset for Training and Benchmarking Agents that Solve Fuzzy Tasks,2023,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4407590542,EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7129369048,Unsafer in Many Turns: Benchmarking and Defending Multi-Turn Safety Risks in Tool-Using Agents,2026,preprint,Open MIND,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4414681448,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
